Sample,Family,Genus,Species,Species_name,Abundance
8,Unassigned,Unassigned,Unassigned,Unassigned,0
8,Gigasporaceae,Scutellospora,VTX00052,VTX00052,23
8,Claroideoglomeraceae,Claroideoglomus,VTX00056,VTX00056,0
8,Claroideoglomeraceae,Claroideoglomus,VTX00057,VTX00057,0
8,Diversisporaceae,Diversispora,VTX00058,VTX00058,16
8,Diversisporaceae,Diversispora,VTX00062,VTX00062,0
8,Glomeraceae,Glomus,VTX00063,VTX00063,200
8,Glomeraceae,Glomus,VTX00064,VTX00064,14
8,Glomeraceae,Glomus,VTX00077,VTX00077,6
8,Glomeraceae,Glomus,VTX00085,VTX00085,0
8,Glomeraceae,Glomus,VTX00089,VTX00089,0
8,Glomeraceae,Glomus,VTX00092,VTX00092,0
8,Glomeraceae,Glomus,VTX00099,VTX00099,0
8,Glomeraceae,Glomus,VTX00100,VTX00100,0
8,Glomeraceae,Glomus,VTX00101,VTX00101,0
8,Glomeraceae,Glomus,VTX00104,VTX00104,0
8,Glomeraceae,Glomus,VTX00108,VTX00108,0
8,Glomeraceae,Glomus,VTX00109,VTX00109,10
8,Glomeraceae,Glomus,VTX00111,VTX00111,0
8,Glomeraceae,Glomus,VTX00112,VTX00112,0
8,Glomeraceae,Glomus,VTX00113,VTX00113,0
8,Glomeraceae,Glomus,VTX00114,VTX00114,44
8,Glomeraceae,Glomus,VTX00121,VTX00121,0
8,Glomeraceae,Glomus,VTX00122,VTX00122,0
8,Glomeraceae,Glomus,VTX00124,VTX00124,0
8,Glomeraceae,Glomus,VTX00130,VTX00130,388
8,Glomeraceae,Glomus,VTX00132,VTX00132,0
8,Glomeraceae,Glomus,VTX00135,VTX00135,0
8,Glomeraceae,Glomus,VTX00137,VTX00137,0
8,Glomeraceae,Glomus,VTX00143,VTX00143,0
8,Glomeraceae,Glomus,VTX00146,VTX00146,0
8,Glomeraceae,Glomus,VTX00149,VTX00149,2
8,Glomeraceae,Glomus,VTX00151,VTX00151,2
8,Glomeraceae,Glomus,VTX00154,VTX00154,0
8,Glomeraceae,Glomus,VTX00155,VTX00155,0
8,Glomeraceae,Glomus,VTX00156,VTX00156,52
8,Glomeraceae,Glomus,VTX00167,VTX00167,0
8,Glomeraceae,Glomus,VTX00174,VTX00174,2
8,Glomeraceae,Glomus,VTX00175,VTX00175,0
8,Glomeraceae,Glomus,VTX00177,VTX00177,0
8,Glomeraceae,Glomus,VTX00178,VTX00178,0
8,Glomeraceae,Glomus,VTX00183,VTX00183,0
8,Glomeraceae,Glomus,VTX00191,VTX00191,0
8,Claroideoglomeraceae,Claroideoglomus,VTX00193,VTX00193,1
8,Glomeraceae,Glomus,VTX00194,VTX00194,7
8,Glomeraceae,Glomus,VTX00197,VTX00197,8
8,Glomeraceae,Glomus,VTX00206,VTX00206,0
8,Glomeraceae,Glomus,VTX00209,VTX00209,3
8,Glomeraceae,Glomus,VTX00212,VTX00212,0
8,Glomeraceae,Glomus,VTX00213,VTX00213,28
8,Glomeraceae,Glomus,VTX00214,VTX00214,71
8,Glomeraceae,Glomus,VTX00216,VTX00216,0
8,Glomeraceae,Glomus,VTX00222,VTX00222,0
8,Acaulosporaceae,Acaulospora,VTX00231,VTX00231,0
8,Glomeraceae,Glomus,VTX00233,VTX00233,8
8,Glomeraceae,Glomus,VTX00234,VTX00234,0
8,Glomeraceae,Glomus,VTX00235,VTX00235,0
8,Claroideoglomeraceae,Claroideoglomus,VTX00237,VTX00237,0
8,Paraglomeraceae,Paraglomus,VTX00238,VTX00238,11
8,Glomeraceae,Glomus,VTX00247,VTX00247,1
8,Glomeraceae,Glomus,VTX00248,VTX00248,0
8,Gigasporaceae,Scutellospora,VTX00255,VTX00255,1
8,Gigasporaceae,Scutellospora,VTX00260,VTX00260,0
