Time,AMFIsolate,Fertilizer,Tillage,SoilpH,SoilP,ShootP,ShootBiomass.g,RootBiomass.g,TotalBiomass.g,RootShootRatio,ShootPMR,ShootMR,RootMR,TotalBiomassMR,RootShootRatioMR
2,CC4,High,NoTill,NA,NA,NA,3.16,3.34,6.5,1.06,NA,0.253968254,-0.437710438,-0.231678487,-0.546368229
2,CC4,High,NoTill,5.7,82.29,0.42,0.41,1.79,2.2,4.37,0.204289261,-0.837301587,-0.698653199,-0.739952719,0.873756935
2,CC4,High,NoTill,NA,NA,NA,1.77,8.1,9.87,4.58,NA,-0.297619048,0.363636364,0.166666667,0.964064887
2,CC4,High,NoTill,NA,NA,NA,2.1,1.81,3.91,0.86,NA,-0.166666667,-0.695286195,-0.537825059,-0.630083793
2,CC4,High,NoTill,5.52,161.25,0.26,2.57,3.05,5.62,1.19,-0.262297992,0.01984127,-0.486531987,-0.3356974,-0.490656469
2,CC4,High,NoTill,5.79,77.2,0.43,2.95,5.6,8.55,1.9,0.219259049,0.170634921,-0.057239057,0.010638298,-0.185276788
2,CC4,High,NoTill,5.43,192.15,0.31,3.38,8.48,11.86,2.51,-0.117600091,0.341269841,0.427609428,0.401891253,0.076770704
2,CC4,High,NoTill,6.01,111.33,0.29,3.37,4.81,8.18,1.43,-0.171265406,0.337301587,-0.19023569,-0.033096927,-0.38742502
2,CC4,High,NoTill,NA,NA,NA,2.35,2.16,4.51,0.92,NA,-0.067460317,-0.636363636,-0.466903073,-0.605515478
2,CC4,High,NoTill,NA,NA,NA,1.77,0.82,2.59,0.46,NA,-0.297619048,-0.861952862,-0.693853428,-0.80116874
2,Cuba8,High,NoTill,6.01,41.48,0.42,2.96,7.01,9.97,2.37,0.20065316,0.174603175,0.18013468,0.178486998,0.016413409
2,Cuba8,High,NoTill,NA,NA,NA,1.38,1.53,2.91,1.11,NA,-0.452380952,-0.742424242,-0.656028369,-0.524164956
2,Cuba8,High,NoTill,5.71,60.02,0.3,3.64,3.23,6.87,0.89,-0.137752854,0.444444444,-0.456228956,-0.187943262,-0.619157666
2,Cuba8,High,NoTill,5.17,177.29,0.41,1.95,4.26,6.21,2.18,0.174133545,-0.226190476,-0.282828283,-0.265957447,-0.062396831
2,Cuba8,High,NoTill,NA,NA,NA,1.7,4.88,6.58,2.87,NA,-0.325396825,-0.178451178,-0.222222222,0.232012118
2,Cuba8,High,NoTill,NA,NA,NA,1.84,4.32,6.16,2.35,NA,-0.26984127,-0.272727273,-0.271867612,0.007650681
