phylum,kingdom,CC4_203_high_fert,CC4_261_no_fert,CC4_264_no_fert_till,CC4_284_high_fert,CC4_287_high_fert_till,CC4_304_no_fert,CC4_309_high_fert,CC4_50_high_fert_till,CC4_59_no_fert_till,CC4_82_no_fert_till,CC4_93_no_fert,Cuba8_248_no_fert_till,Cuba8_254_no_fert,Cuba8_260_no_fert_till,Cuba8_263_high_fert_till,Cuba8_279_no_fert,Cuba8_308_no_fert_till,Cuba8_315_high_fert,Cuba8_320_high_fert_till,Cuba8_7_high_fert_till,Cuba8_8_high_fert,DAOM197198_104_no_fert,DAOM197198_150_high_fert_till,DAOM197198_158_high_fert,DAOM197198_16_high_fert_till,DAOM197198_18_no_fert,DAOM197198_210_no_fert_till,DAOM197198_235_no_fert,DAOM197198_240_no_fert_till,DAOM197198_286_high_fert_till,DAOM197198_40_no_fert_till,DAOM197198_5_high_fert,DAOM197198_72_high_fert,Control_125_high_fert,Control_128_high_fert_till,Control_139_no_fert_till,Control_17_no_fert,Control_23_no_fert_till,Control_25_high_fert_till,Control_30_high_fert,Control_33_high_fert,Control_52_no_fert,Control_71_no_fert_till,Control_74_no_fert,Control_95_high_fert_till
Abditibacteriota,Bacteria,38.8955792,22.59570534,27.35687074,24.73026994,34.28728987,40.17279678,80.04613385,99.10779225,51.55577692,68.10491623,13.50412927,14.08616539,18.07803131,31.04541016,55.16370743,22.26982249,52.77564422,40.35034264,127.981864,64.29043988,29.76940691,0,34.85735912,52.56946725,28.17938331,26.66532092,25.87529084,20.97250216,32.64729024,48.24346347,49.18988024,39.00565866,52.13843668,32.98182776,33.19711401,28.54257056,12.77436415,19.07488354,51.90995322,114.8103818,15.70257701,77.86528363,8.603014652,33.43822069,43.14799041
Acidobacteriota,Bacteria,2817.953943,14086.45915,19722.16495,5562.170634,1252.671658,8875.114069,3977.913282,3339.217971,7849.923385,9715.620602,8791.689631,11447.11434,11432.91614,12292.03099,7870.426447,12827.48674,16318.11207,4690.159551,7977.641732,3138.15769,3169.669743,0,3479.389442,6130.724686,12489.16009,25033.20585,11376.42206,17423.07863,8830.237565,9059.55285,13530.10749,13683.11708,7841.595082,2369.278303,3165.150186,10401.45229,15930.1765,5266.641677,1430.842885,8468.243465,8263.374087,6879.709172,6351.223531,2532.49059,4543.023742
Actinomycetota,Bacteria,17513.73264,13252.26248,10007.01345,26426.72507,18822.21132,18610.96948,32118.95789,16789.23,6577.25509,5567.251915,6289.563091,8166.912561,6891.582133,6569.930493,17372.42757,9445.777862,8711.020048,26308.67478,30593.38941,19782.65162,15823.4723,0,17310.45159,33290.13706,15618.52681,9058.161714,7425.597388,9471.923269,11478.53687,21954.66999,5160.259029,48164.17403,24389.57532,17238.20634,20605.93368,8339.023519,14928.33561,10176.57767,41060.43354,19799.55682,22244.34461,10865.71454,6610.825131,7688.626739,17169.55482
Aquificota,Bacteria,1.112993218,2.074634763,4.190455654,0.826958473,0.34284324,1.620497201,1.183075291,0.34723534,0.823817422,1.075331579,4.535126064,2.543033881,3.243651058,1.489762754,1.289789528,1.302697262,2.482452731,0.19760299,3.086887191,0.610361636,0,0,1.015402111,0.666464709,2.025212353,2.809810693,3.826573397,3.257582987,1.765511913,1.343171723,0.192074085,0,1.349155944,0.628248476,0.368263033,1.361282002,3.356728223,0.738481874,0.438985595,0.565736537,0.334692201,1.529128708,0.415486922,1.261410027,1.952345376
Armatimonadota,Bacteria,181.8719745,403.2046134,724.1559472,165.4953077,77.73086976,302.9074208,173.9350428,211.8507175,351.9718463,616.1899955,201.0540063,277.6985202,455.1764529,455.8141792,165.3130748,258.3511508,681.2779154,121.567317,433.352796,130.7553628,181.3614923,0,171.391073,206.6092333,1398.801266,473.513456,713.3809704,536.477737,329.4989566,166.398124,364.8200437,187.0190668,431.4448432,107.3119893,78.45139606,600.6016884,283.8594577,369.4735588,45.52597302,260.5151903,73.07359637,381.8670316,191.6115568,81.08925994,46.47933424
Atribacterota,Bacteria,0.985096424,4.038456074,3.38686419,1.63268832,0.361372185,2.497104792,1.243170212,0.532806733,1.709731072,2.793452186,1.391107105,5.305398958,2.511653408,4.228628823,1.173373575,1.319669854,3.620292513,0.595866532,2.343964808,2.12175086,0.794225939,0,0.892493726,2.68241221,0,3.489050312,3.158912081,3.004718803,1.071451556,2.134556708,1.072109158,6.06926241,2.224740009,0.386410809,2.161759602,1.75848451,2.220769299,0.571255456,0.101277136,0.089916195,0,0.241805541,0.460233167,0.126769381,0.313778065
Bacillota,Bacteria,1292.071758,546.8963357,794.5545886,778.8200438,3132.360255,1642.923319,673.2440731,1069.07191,806.6268286,741.2518259,7348.980902,2155.189963,1656.263352,862.2499706,990.355811,424.0193923,1686.652467,1236.756272,871.9590884,3807.37457,1962.09127,0,2327.868745,1890.558587,5116.611,8238.177812,3345.302941,1028.894782,2085.127014,2272.325924,548.7893487,1641.293995,1473.260946,6464.083966,6603.74809,878.7518696,4489.756194,1307.977652,7833.290755,2423.637943,2078.353598,1018.464589,1478.18016,3846.957238,821.5433726
Bacteroidota,Bacteria,1639.652469,2170.487962,5193.464518,1572.204923,1463.333125,1946.612841,2256.353108,2374.074417,3531.228969,3413.393118,3214.71966,3289.984775,5363.306521,5168.765171,2122.883926,4723.929645,6679.480625,2305.770884,1872.781914,4958.428302,3490.068502,0,2426.842091,5575.263728,3413.798155,3584.816235,4031.718219,4929.386658,5204.055757,3054.945191,3050.648197,1887.467769,3125.071688,1907.423953,6863.748344,4505.935104,62587.69874,3354.135431,6927.757263,2449.513568,4185.216752,1627.490055,2172.334397,9934.815561,7260.537157
Balneolota,Bacteria,5.074787569,3.635543585,10.80031108,3.379037267,5.410550484,4.722987197,8.944394043,9.599575569,7.092664906,7.475246057,2.940202984,7.326596299,6.706268472,13.02377835,5.409849531,5.799439437,20.20277836,5.170841247,0.463518811,7.478956987,15.97975482,0,9.91690466,5.526724777,0,9.75266143,16.67003109,14.04501988,19.02312147,6.608109148,12.87554616,7.531974284,10.72018681,9.807646858,5.527945104,9.637579755,5.752243943,6.86185574,7.317847015,5.990986926,4.163792517,5.931993152,25.92481162,3.950159305,18.67933363
Bdellovibrionota,Bacteria,26.62120735,89.04188582,165.9207794,33.43635971,27.79960751,37.23519898,33.75832971,37.51281997,86.04570901,79.10006898,45.98272083,84.33573359,105.1250282,237.2794596,27.28010888,77.45325746,193.4787183,43.71456652,40.13715921,99.03191021,34.86686971,0,51.71382432,27.80056423,297.6880186,95.37498643,208.6233399,100.4274721,118.5389209,31.39610562,504.4198823,28.63784549,65.08393163,20.49420209,16.1154299,29.59887038,75.52484924,26.97713711,13.11579766,23.73584571,16.90998229,30.18471431,20.48225991,29.11140906,16.38750366
