phylum,kingdom,CC4_203_high_fert,CC4_261_no_fert,CC4_264_no_fert_till,CC4_284_high_fert,CC4_287_high_fert_till,CC4_304_no_fert,CC4_309_high_fert,CC4_50_high_fert_till,CC4_59_no_fert_till,CC4_82_no_fert_till,CC4_93_no_fert,Cuba8_248_no_fert_till,Cuba8_254_no_fert,Cuba8_260_no_fert_till,Cuba8_263_high_fert_till,Cuba8_279_no_fert,Cuba8_308_no_fert_till,Cuba8_315_high_fert,Cuba8_320_high_fert_till,Cuba8_7_high_fert_till,Cuba8_8_high_fert,DAOM197198_104_no_fert,DAOM197198_150_high_fert_till,DAOM197198_158_high_fert,DAOM197198_16_high_fert_till,DAOM197198_18_no_fert,DAOM197198_210_no_fert_till,DAOM197198_235_no_fert,DAOM197198_240_no_fert_till,DAOM197198_286_high_fert_till,DAOM197198_40_no_fert_till,DAOM197198_5_high_fert,DAOM197198_72_high_fert,Control_125_high_fert,Control_128_high_fert_till,Control_139_no_fert_till,Control_17_no_fert,Control_23_no_fert_till,Control_25_high_fert_till,Control_30_high_fert,Control_33_high_fert,Control_52_no_fert,Control_71_no_fert_till,Control_74_no_fert,Control_95_high_fert_till
Apicomplexa,Protists,114.0425744,109.8697395,141.3457733,78.63855065,146.2023913,219.391346,420.1858559,126.2227092,67.81183843,64.5415027,64.73794609,39.31887566,43.18145161,56.33395038,32.58711913,147.5431869,72.14965785,34.77496701,24.56268469,173.7942198,76.57510974,0,80.35626911,66.85547502,12.7393674,19.38964117,79.97755693,61.30820725,63.97370001,46.52580109,36.27684956,19.15637487,64.28513718,66.89798754,35.68438004,31.52305382,10.0755631,29.01425541,29.63903589,25.31628343,27.9818539,29.15451107,36.86501755,23.01231873,41.9424756
Bacillariophyta,Protists,52.37616386,33.05185442,80.88303248,41.88200716,42.75866045,36.11656297,93.29357846,109.0618452,99.28657638,97.0063801,159.6715892,83.5490205,140.5807239,159.6352292,82.24729982,51.9468444,154.849537,40.51676921,50.08014751,211.5549942,71.91740253,0,95.84696134,55.343102,4.05511908,55.81092416,128.4391256,99.32529723,109.9089357,54.35254802,73.57905,46.44935789,108.6535742,41.50155504,46.23120647,58.96039667,41.56724919,58.02483611,28.1800842,36.72126436,27.75478125,47.94207369,58.32370546,69.5537685,70.11176449
Cercozoa,Protists,34.31802795,97.79920362,128.937987,27.72545439,73.91217962,44.34165138,59.33001823,151.7318099,219.1871533,215.3066547,120.0527703,64.02640239,50.8437763,95.29233439,82.15115733,67.47518883,68.35291047,31.22659141,60.95016074,79.39122324,37.71825455,0,82.68035377,48.76497657,67.81311719,62.22322946,102.5744206,73.04417141,77.07278504,56.20402705,109.0771974,37.75539667,99.02656626,16.68419635,41.45526735,120.039274,43.20013001,53.29336053,15.50045696,37.18971243,26.37126541,61.61563042,35.51210061,18.85297599,19.22376102
Ciliophora,Protists,518.4937352,393.3090457,462.3014215,395.991339,440.0968889,297.3365065,824.8850881,1143.831094,1490.169909,1487.172245,847.8124176,581.1996739,794.4208705,584.043678,248.9543032,296.7640314,842.4185745,285.2677928,237.4608523,2661.311401,897.6732104,0,669.5675431,635.4994121,1595.305193,696.1242411,1514.184281,1182.299515,889.9027208,1476.355051,1011.763989,118.2697572,1583.963501,674.2516203,291.3475515,419.6951613,165.4316089,504.1110553,411.075181,528.7375007,543.5266717,334.8522018,581.147513,495.540826,673.5139722
Discosea,Protists,183.0339155,59.52729202,116.7055656,90.18895442,122.8013757,68.91563389,216.0945637,274.278855,119.9733885,305.8758871,172.428853,182.3933687,181.2483967,264.0788375,132.753474,87.46417237,254.7795308,90.22666481,82.03006271,396.4674875,155.0125703,0,463.1028883,194.6169952,313.5918864,158.0188674,508.1055598,173.9882874,391.5601038,352.242237,149.5090133,246.0782126,269.6681701,112.2075374,118.9920157,137.8341171,90.83253817,181.1087594,108.6735401,109.707689,83.52731811,77.60469177,205.2753029,128.5208773,237.572845
Endomyxa,Protists,36.60378794,31.23098822,70.63792999,20.54830839,45.97246573,25.81566887,64.49791292,98.36950947,136.6932184,108.8601919,105.6065165,47.37976548,49.35790334,78.08990602,41.72162576,29.23663001,99.15290691,17.72254172,36.65842432,112.7399971,26.61692759,0,64.87419181,50.60465681,131.8667815,34.89721944,104.9784598,81.37741176,66.43177578,52.5546613,79.77625271,58.75601164,109.3786278,19.26885281,27.07855167,52.40136542,19.89533079,29.53648021,10.68545056,26.26589119,21.47301939,38.32931861,25.34072947,33.99874727,28.39632625
Euglenozoa,Protists,37.53508089,44.79424358,128.8891741,24.52361548,72.36107489,55.08691204,45.4448605,85.56824012,188.8052247,159.6286584,118.2659083,99.88881638,114.1259406,125.8591337,43.73418191,64.94639887,179.0129793,182.4208696,105.212692,154.1306652,22.66177648,0,80.09042733,66.10357648,136.0987322,50.5786997,127.803628,107.9433937,135.9105344,28.71429999,66.6156453,23.14150415,145.5007931,167.8723686,30.04106835,82.6691022,57.15649208,145.9990148,21.40860699,104.341033,86.90594966,43.5941029,50.93545701,79.55469093,60.59396459
Evosea,Protists,345.6990458,147.4339878,357.3787975,215.6101971,255.255172,210.2617513,459.3741091,709.2034279,514.6579982,559.0223211,764.0716302,446.6427936,541.9738511,631.9055772,360.8332672,263.3759475,676.9322375,205.518325,177.2076052,661.7684707,290.9590565,0,616.1939294,242.0289707,469.5381094,249.2248728,654.9426923,471.7542092,559.1622754,295.9171021,439.7301951,187.2440707,635.2624338,268.0714529,280.6530914,366.831494,229.2271583,328.6189502,113.1502865,329.2863162,234.7018795,273.2886113,477.4008643,921.8866387,429.3911221
Haptophyta,Protists,18.37961121,7.436616783,15.70384909,15.81618061,20.55385356,12.29232301,29.82492238,17.12904117,24.04837918,21.22328818,18.98084521,13.536582,16.04364548,19.98826273,24.38809362,16.49182843,28.74571945,34.46845708,16.2251045,35.08785058,28.83452938,0,19.19197172,16.65467127,24.54010276,10.13090203,24.88717521,19.33870302,16.64304139,17.03844026,20.07341641,13.2369123,25.22491724,10.99295887,16.96188249,10.39865433,8.528416673,8.180911053,7.143681527,10.26167939,8.923442267,8.107552734,8.705653516,10.78736541,11.28315424
Heterolobosea,Protists,28.96308777,10.15913995,41.41807031,17.20773986,21.09195486,21.41945379,37.73039029,41.39522052,43.55584059,52.08116044,44.83771826,33.40006536,42.80567945,48.58243954,36.10700922,20.27971373,55.39609657,12.63114141,20.1415756,62.25222012,19.06870488,0,40.01712294,18.1328749,67.29444673,19.56930537,57.14901308,41.68194398,36.5232456,22.51748502,38.61588395,27.34144155,52.55823406,17.00359381,21.68173475,22.34806302,12.3251582,22.96087583,6.492883735,26.24070277,17.02834499,22.59361034,23.2517291,35.96729734,30.40727596
