phylum,kingdom,CC4_203_high_fert,CC4_261_no_fert,CC4_264_no_fert_till,CC4_284_high_fert,CC4_287_high_fert_till,CC4_304_no_fert,CC4_309_high_fert,CC4_50_high_fert_till,CC4_59_no_fert_till,CC4_82_no_fert_till,CC4_93_no_fert,Cuba8_248_no_fert_till,Cuba8_254_no_fert,Cuba8_260_no_fert_till,Cuba8_263_high_fert_till,Cuba8_279_no_fert,Cuba8_308_no_fert_till,Cuba8_315_high_fert,Cuba8_320_high_fert_till,Cuba8_7_high_fert_till,Cuba8_8_high_fert,DAOM197198_104_no_fert,DAOM197198_150_high_fert_till,DAOM197198_158_high_fert,DAOM197198_16_high_fert_till,DAOM197198_18_no_fert,DAOM197198_210_no_fert_till,DAOM197198_235_no_fert,DAOM197198_240_no_fert_till,DAOM197198_286_high_fert_till,DAOM197198_40_no_fert_till,DAOM197198_5_high_fert,DAOM197198_72_high_fert,Control_125_high_fert,Control_128_high_fert_till,Control_139_no_fert_till,Control_17_no_fert,Control_23_no_fert_till,Control_25_high_fert_till,Control_30_high_fert,Control_33_high_fert,Control_52_no_fert,Control_71_no_fert_till,Control_74_no_fert,Control_95_high_fert_till
Artverviricota,Viruses,0.87991383,0,1.514967341,0.013595048,1.176832995,0.112276686,3.731923655,2.55418806,1.417552034,0.811763731,0.170144266,3.707694472,2.582142453,0.583904119,10.65134364,0.368626233,0.350477526,0.427303581,16.89362284,3.564307061,10.40035469,0,0.891413052,3.120074274,0,0.941539499,1.716670591,1.37576474,4.955423339,12.28460393,1.248405046,0.541940712,0.049159583,1.38728035,4.146108513,0.041119395,0.808315085,1.949998615,9.462577266,0.147348489,1.122458473,0.858580268,1.572495837,1.565857958,2.453528971
Cossaviricota,Viruses,0.038740735,0,0,0,0,0.705985818,0,0.271598215,0,0,0,0,0,0,0,0.164362313,0.541639941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cressdnaviricota,Viruses,0,1.616777616,1.250233549,0.51959915,0.58499024,0.885809364,0.052665196,0.186230569,9.045716534,4.147748353,6.113240394,0,0,0,0.176831053,1.065317779,3.465897267,0,0.022219968,3.91023942,0,0,0,0,0,1.378268657,0.028149963,0.206265251,0.146458812,0.007409317,0.102158431,0,0,0.307157164,0,0,8.117922933,0.424241064,0.398218924,0.056841661,0.111292464,0.051825347,0,0,0.087232906
Duplornaviricota,Viruses,5.258710733,3.009956107,1.366115682,2.413252504,56.96319713,9.713167818,5.149801678,27.24115347,2.20154371,6.819937741,36.83858388,6.265420673,4.107521805,3.567612008,7.42938484,2.513515247,17.91579454,4.627939651,2.841088533,17.7801435,8.610918494,0,11.33901686,8.602652597,4.6711427,2.226147364,4.049386745,4.594403918,9.806301171,4.119180663,4.090651653,1.401154796,4.294511066,3.7137544,20.10510437,1.411777993,1.640998351,2.500855171,23.26153041,6.257678585,5.922957928,14.07816683,1.789410702,20.21011767,8.241027564
Hofneiviricota,Viruses,0,0,0,0,0,0,0,0,0.904435032,0.300608893,0.343619669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.243917999,0,1.772716622,0,0,0,0,0,0
Kitrinoviricota,Viruses,50.04832773,20.36873945,44.02350128,83.71991944,78.99229873,53.97731424,180.1532158,76.26541507,30.63773307,8.061958673,32.96408703,38.24641845,28.07892448,22.47257996,57.14387515,38.44500024,33.84521428,86.98429185,28.92173986,118.6834762,62.16703358,0,134.2605454,59.39115176,28.15624691,39.04632455,42.49391491,48.65438496,29.90295597,93.55088917,32.57098996,114.99497,27.48714989,49.5915568,72.9110084,11.92694126,66.00001818,100.1334113,81.27816816,20.3099588,55.89001163,32.24159919,9.158138694,30.21689067,37.65085241
Lenarviricota,Viruses,3003.031705,1508.19992,1269.957453,3767.208262,3498.139972,4008.652644,5836.204274,1627.851437,1293.950537,621.418338,539.9900582,2530.625094,1002.368308,1223.965767,1223.084642,1367.208156,1238.046085,2243.365189,2330.727292,2790.572407,2787.413194,0,1155.388778,953.4423821,3288.544115,1895.895575,843.0700341,1258.80043,617.0929594,2284.083819,830.7457508,3210.443121,1541.249928,1044.991726,3000.907029,500.5252865,1798.182771,781.0375218,2134.155813,970.8046331,1433.770104,1005.812578,360.889639,912.065578,1324.17822
Negarnaviricota,Viruses,102.6389736,34.37028756,17.91193713,41.47349686,43.77960178,72.36414483,89.01221319,36.29224904,17.6465883,25.80523152,45.42205555,27.36676021,32.23209792,20.65573219,64.38303495,31.8956911,31.72150188,88.39503755,27.36229311,39.19353529,88.56247658,0,147.8450124,40.66619371,55.66462089,14.55525259,89.86576206,58.94643735,36.96970512,65.49909438,17.54924033,36.91006865,32.54543603,63.18712142,49.19378695,16.81554132,22.27447237,12.49818088,46.39161674,15.97578709,7.582096282,12.15122575,45.76078654,20.02099428,17.80255452
Nucleocytoviricota,Viruses,13.4280676,8.544358335,18.39226269,10.17816959,13.57529009,8.064373424,18.82848158,22.45363142,16.38222404,20.42613401,19.02786975,13.74039621,14.36704307,24.75063387,12.59414253,11.61115929,20.62861832,5.61970352,5.432746236,25.92923136,10.86592857,0,19.40745379,11.7705592,0,7.807583306,24.85750135,17.07400657,17.70954404,8.671779943,14.02979507,7.831597333,22.82918919,10.91092547,10.37531455,11.19936437,5.938879536,17.95423741,2.753738586,8.306463035,8.012296477,11.30211054,18.36485954,11.28131421,16.7421923
Peploviricota,Viruses,0,0,0,0.41246513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phixviricota,Viruses,0,0,0,0,4.990951166,0,0.108222412,0,0.150153023,0,0,0,0.58381306,0,0,0.131842607,0,0,0,0.338303014,0,0,0.295717304,0.501256957,0,0,0,0.08978605,0.472135585,0,0,0,0.387527007,0.043160257,0.159765123,0.151806161,9.891639574,0.180363063,0.3618115,0.179453743,0.048944313,0.168032777,0.033610017,0.103327522,0.623251771
