"Species","Genus","Family","VTX_num","TaxLabel","Control_present","n_AMF_present","n_AMF_absent","AMF_present_in","AMF_absent_in","Status","Status_strict"
"VTX00231","Acaulospora","Acaulosporaceae",231,"Acaulospora VTX00231",TRUE,2,1,"Cuba8, DAOM197198","CC4","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00328","Acaulospora","Acaulosporaceae",328,"Acaulospora VTX00328",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00379","Acaulospora","Acaulosporaceae",379,"Acaulospora VTX00379",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00056","Claroideoglomus","Claroideoglomeraceae",56,"Claroideoglomus VTX00056",TRUE,2,1,"Cuba8, DAOM197198","CC4","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00057","Claroideoglomus","Claroideoglomeraceae",57,"Claroideoglomus VTX00057",FALSE,1,2,"Cuba8","CC4, DAOM197198","Gained in AMF","Gained in AMF"
"VTX00193","Claroideoglomus","Claroideoglomeraceae",193,"Claroideoglomus VTX00193",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00237","Claroideoglomus","Claroideoglomeraceae",237,"Claroideoglomus VTX00237",FALSE,2,1,"CC4, DAOM197198","Cuba8","Gained in AMF","Gained in AMF"
"VTX00276","Claroideoglomus","Claroideoglomeraceae",276,"Claroideoglomus VTX00276",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00341","Claroideoglomus","Claroideoglomeraceae",341,"Claroideoglomus VTX00341",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00358","Claroideoglomus","Claroideoglomeraceae",358,"Claroideoglomus VTX00358",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00402","Claroideoglomus","Claroideoglomeraceae",402,"Claroideoglomus VTX00402",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00058","Diversispora","Diversisporaceae",58,"Diversispora VTX00058",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00062","Diversispora","Diversisporaceae",62,"Diversispora VTX00062",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00263","Diversispora","Diversisporaceae",263,"Diversispora VTX00263",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00306","Diversispora","Diversisporaceae",306,"Diversispora VTX00306",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00356","Diversispora","Diversisporaceae",356,"Diversispora VTX00356",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
