"Species","Genus","Family","VTX_num","TaxLabel","Control_present","n_AMF_present","n_AMF_absent","AMF_present_in","AMF_absent_in","Status","Status_strict"
"VTX00231","Acaulospora","Acaulosporaceae",231,"Acaulospora VTX00231",TRUE,2,1,"Cuba8, DAOM197198","CC4","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00056","Claroideoglomus","Claroideoglomeraceae",56,"Claroideoglomus VTX00056",TRUE,2,1,"Cuba8, DAOM197198","CC4","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00085","Glomus","Glomeraceae",85,"Glomus VTX00085",TRUE,1,2,"DAOM197198","CC4, Cuba8","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00089","Glomus","Glomeraceae",89,"Glomus VTX00089",TRUE,1,2,"DAOM197198","CC4, Cuba8","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00108","Glomus","Glomeraceae",108,"Glomus VTX00108",TRUE,2,1,"CC4, DAOM197198","Cuba8","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00121","Glomus","Glomeraceae",121,"Glomus VTX00121",TRUE,2,1,"CC4, Cuba8","DAOM197198","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00135","Glomus","Glomeraceae",135,"Glomus VTX00135",TRUE,1,2,"DAOM197198","CC4, Cuba8","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00149","Glomus","Glomeraceae",149,"Glomus VTX00149",TRUE,2,1,"Cuba8, DAOM197198","CC4","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00183","Glomus","Glomeraceae",183,"Glomus VTX00183",TRUE,0,3,"","CC4, Cuba8, DAOM197198","Lost in ≥1 AMF","Completely lost"
"VTX00191","Glomus","Glomeraceae",191,"Glomus VTX00191",TRUE,0,3,"","CC4, Cuba8, DAOM197198","Lost in ≥1 AMF","Completely lost"
"VTX00212","Glomus","Glomeraceae",212,"Glomus VTX00212",TRUE,0,3,"","CC4, Cuba8, DAOM197198","Lost in ≥1 AMF","Completely lost"
"VTX00216","Glomus","Glomeraceae",216,"Glomus VTX00216",TRUE,2,1,"CC4, DAOM197198","Cuba8","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00310","Glomus","Glomeraceae",310,"Glomus VTX00310",TRUE,2,1,"Cuba8, DAOM197198","CC4","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00312","Glomus","Glomeraceae",312,"Glomus VTX00312",TRUE,2,1,"CC4, DAOM197198","Cuba8","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00319","Glomus","Glomeraceae",319,"Glomus VTX00319",TRUE,0,3,"","CC4, Cuba8, DAOM197198","Lost in ≥1 AMF","Completely lost"
"VTX00360","Glomus","Glomeraceae",360,"Glomus VTX00360",TRUE,2,1,"CC4, Cuba8","DAOM197198","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00383","Glomus","Glomeraceae",383,"Glomus VTX00383",TRUE,1,2,"CC4","Cuba8, DAOM197198","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00398","Glomus","Glomeraceae",398,"Glomus VTX00398",TRUE,0,3,"","CC4, Cuba8, DAOM197198","Lost in ≥1 AMF","Completely lost"
"VTX00419","Glomus","Glomeraceae",419,"Glomus VTX00419",TRUE,2,1,"CC4, Cuba8","DAOM197198","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00437","Glomus","Glomeraceae",437,"Glomus VTX00437",TRUE,1,2,"DAOM197198","CC4, Cuba8","Lost in ≥1 AMF","Lost in ≥1 AMF"
"VTX00435","Paraglomus","Paraglomeraceae",435,"Paraglomus VTX00435",TRUE,1,2,"DAOM197198","CC4, Cuba8","Lost in ≥1 AMF","Lost in ≥1 AMF"
