"Species","Genus","Family","VTX_num","TaxLabel","Control_present","n_AMF_present","n_AMF_absent","AMF_present_in","AMF_absent_in","Status","Status_strict"
"VTX00328","Acaulospora","Acaulosporaceae",328,"Acaulospora VTX00328",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00379","Acaulospora","Acaulosporaceae",379,"Acaulospora VTX00379",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00341","Claroideoglomus","Claroideoglomeraceae",341,"Claroideoglomus VTX00341",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00358","Claroideoglomus","Claroideoglomeraceae",358,"Claroideoglomus VTX00358",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00062","Diversispora","Diversisporaceae",62,"Diversispora VTX00062",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00356","Diversispora","Diversisporaceae",356,"Diversispora VTX00356",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00092","Glomus","Glomeraceae",92,"Glomus VTX00092",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00101","Glomus","Glomeraceae",101,"Glomus VTX00101",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00111","Glomus","Glomeraceae",111,"Glomus VTX00111",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00112","Glomus","Glomeraceae",112,"Glomus VTX00112",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00124","Glomus","Glomeraceae",124,"Glomus VTX00124",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00137","Glomus","Glomeraceae",137,"Glomus VTX00137",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00143","Glomus","Glomeraceae",143,"Glomus VTX00143",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00146","Glomus","Glomeraceae",146,"Glomus VTX00146",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00154","Glomus","Glomeraceae",154,"Glomus VTX00154",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00175","Glomus","Glomeraceae",175,"Glomus VTX00175",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00301","Glomus","Glomeraceae",301,"Glomus VTX00301",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00361","Glomus","Glomeraceae",361,"Glomus VTX00361",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00366","Glomus","Glomeraceae",366,"Glomus VTX00366",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00388","Glomus","Glomeraceae",388,"Glomus VTX00388",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00399","Glomus","Glomeraceae",399,"Glomus VTX00399",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00415","Glomus","Glomeraceae",415,"Glomus VTX00415",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00420","Glomus","Glomeraceae",420,"Glomus VTX00420",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
"VTX00337","Paraglomus","Paraglomeraceae",337,"Paraglomus VTX00337",FALSE,0,3,"","CC4, Cuba8, DAOM197198","Never detected","Never detected"
