"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison","mean_amf","mean_control","direction","signed_average"
"Abditibacteriota",0.000262684904686287,0.336191570433455,0.000213837681983083,1.22843131411735,0.00070330492697609,0.000724907884186361,3,0.203817357901727,0.068,"Abditibacteriota","CC4_Control",0.00070330492697609,0.000724907884186361,"Control",-0.000262684904686287
"Acidobacteriota",0.0325406744198289,0.336191570433455,0.0221977241138394,1.465946430046,0.112973488451653,0.10393108238274,8,0.329710515557621,0.919,"Acidobacteriota","CC4_Control",0.112973488451653,0.10393108238274,"AMF",0.0325406744198289
"Actinomycetota",0.0685216776345792,0.336191570433455,0.050178338322664,1.36556290871892,0.234961435526924,0.276733171319453,40,0.427713185250063,0.372,"Actinomycetota","CC4_Control",0.234961435526924,0.276733171319453,"Control",-0.0685216776345792
"Aquificota",8.86731504437953e-06,0.336191570433455,9.40095174829716e-06,0.943235885237439,2.45393541640508e-05,1.8243700152442e-05,2,0.524505244544929,0.57,"Aquificota","CC4_Control",2.45393541640508e-05,1.8243700152442e-05,"AMF",8.86731504437953e-06
"Armatimonadota",0.00168863084789728,0.336191570433455,0.00127892497520834,1.32035176467032,0.00453101410226585,0.00385836551199255,19,0.614705896784477,0.607,"Armatimonadota","CC4_Control",0.00453101410226585,0.00385836551199255,"AMF",0.00168863084789728
"Atribacterota",1.00196665865316e-05,0.336191570433455,6.98834310105511e-06,1.43376855452601,2.71042033659464e-05,1.11059579175319e-05,44,0.688918129415599,0.652,"Atribacterota","CC4_Control",2.71042033659464e-05,1.11059579175319e-05,"AMF",1.00196665865316e-05
"Bacillota",0.0230103828577685,0.336191570433455,0.0207960675721552,1.10647759620565,0.0296159147236249,0.055443859472421,7,0.757362388229408,0.009,"Bacillota","CC4_Control",0.0296159147236249,0.055443859472421,"Control",-0.0230103828577685
"Bacteroidota",0.0423242183791618,0.336191570433455,0.0570536461303107,0.741831964297131,0.0398693344233634,0.119604292995662,16,0.80050109574624,0.003,"Bacteroidota","CC4_Control",0.0398693344233634,0.119604292995662,"Control",-0.0423242183791618
"Balneolota",4.91101371043814e-05,0.336191570433455,5.69969263572525e-05,0.861627814745003,9.47831275635676e-05,0.000168265206616029,33,0.842206922198095,0.5,"Balneolota","CC4_Control",9.47831275635676e-05,0.000168265206616029,"Control",-4.91101371043814e-05
"Bdellovibrionota",0.00025012790426778,0.336191570433455,0.000224733244507294,1.1129991239888,0.000885225011267998,0.000447079674327389,38,0.882217332448122,0.992,"Bdellovibrionota","CC4_Control",0.000885225011267998,0.000447079674327389,"AMF",0.00025012790426778
"Caldisericota",8.07732530656619e-07,0.336191570433455,1.46163966113898e-06,0.552620835443937,1.36676085882924e-06,3.90820889617712e-07,27,0.920223482841421,0.934,"Caldisericota","CC4_Control",1.36676085882924e-06,3.90820889617712e-07,"AMF",8.07732530656619e-07
"Calditrichota",1.34458039322372e-05,0.336191570433455,1.12534834519731e-05,1.19481260976837,3.29257074605159e-05,2.10468881743697e-05,51,0.942679853005906,0.959,"Calditrichota","CC4_Control",3.29257074605159e-05,2.10468881743697e-05,"AMF",1.34458039322372e-05
"Campylobacterota",3.81036636731523e-05,0.336191570433455,3.77394101553226e-05,1.00965180738995,0.000122060767471993,0.000149090187259768,46,0.956283494407986,0.623,"Campylobacterota","CC4_Control",0.000122060767471993,0.000149090187259768,"Control",-3.81036636731523e-05
"Chlamydiota",9.41477965907539e-05,0.336191570433455,7.69715281549308e-05,1.22315093447606,0.000294870847918575,0.000263007985940253,37,0.967463633359121,0.858,"Chlamydiota","CC4_Control",0.000294870847918575,0.000263007985940253,"AMF",9.41477965907539e-05
"Chlorobiota",0.000164297148087328,0.336191570433455,0.000164580829956415,0.998276337109476,0.000318550278792075,0.000340064240972581,35,0.977573686330411,0.36,"Chlorobiota","CC4_Control",0.000318550278792075,0.000340064240972581,"Control",-0.000164297148087328
"Chloroflexota",0.0145028698265533,0.336191570433455,0.0157371154770954,0.921571036805416,0.0619857594693188,0.0348309794910991,5,0.982596509614529,0.671,"Chloroflexota","CC4_Control",0.0619857594693188,0.0348309794910991,"AMF",0.0145028698265533
"Chrysiogenota",8.13533050353671e-07,0.336191570433455,1.37401396719372e-06,0.592084993149834,1.62706610070734e-06,0,31,0.987186463215744,0.001,"Chrysiogenota","CC4_Control",1.62706610070734e-06,0,"AMF",8.13533050353671e-07
"Coprothermobacterota",1.55918628258047e-06,0.336191570433455,2.68660596179805e-06,0.580355401853184,1.76555841861493e-06,1.8268846003469e-06,28,0.989541973062541,0.817,"Coprothermobacterota","CC4_Control",1.76555841861493e-06,1.8268846003469e-06,"Control",-1.55918628258047e-06
"Cyanobacteriota",0.0303246989305356,0.336191570433455,0.0482903077258756,0.627966570490224,0.0373782210986669,0.0486263040071703,50,0.991585720177365,0.475,"Cyanobacteriota","CC4_Control",0.0373782210986669,0.0486263040071703,"Control",-0.0303246989305356
"Deferribacterota",2.921584883816e-06,0.336191570433455,3.14828895690498e-06,0.927991338726466,5.72497028151248e-06,3.26198545587238e-06,24,0.993204446024077,1,"Deferribacterota","CC4_Control",5.72497028151248e-06,3.26198545587238e-06,"AMF",2.921584883816e-06
"Deinococcota",0.000143834989496803,0.336191570433455,0.000148310833779997,0.96982119128375,0.000439427714472222,0.000237686130554856,1,0.993985800846113,0.712,"Deinococcota","CC4_Control",0.000439427714472222,0.000237686130554856,"AMF",0.000143834989496803
"Dictyoglomota",1.09255095710011e-06,0.336191570433455,1.14446175139122e-06,0.954641739465726,1.35235631337209e-06,1.87824871227689e-06,10,0.994729804938617,0.842,"Dictyoglomota","CC4_Control",1.35235631337209e-06,1.87824871227689e-06,"Control",-1.09255095710011e-06
