"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison","mean_amf","mean_control","direction","signed_average"
"Apicomplexa",0.0258887449220063,0.195208980108752,0.0217549889456017,1.19001416119958,0.0717143023805274,0.0224631261374085,4,0.217082148219777,0.001,"Apicomplexa","CC4_Control",0.0717143023805274,0.0224631261374085,"AMF",0.0258887449220063
"Bacillariophyta",0.00409376492039732,0.195208980108752,0.00295737578431733,1.3842559143502,0.0328246878171197,0.0337307573744893,8,0.402269944766709,0.981,"Bacillariophyta","CC4_Control",0.0328246878171197,0.0337307573744893,"Control",-0.00409376492039732
"Cercozoa",0.0130257329736174,0.195208980108752,0.00923367118931633,1.41067758495544,0.0455193697718025,0.0295788400688818,1,0.53489061061714,0.005,"Cercozoa","CC4_Control",0.0455193697718025,0.0295788400688818,"AMF",0.0130257329736174
"Ciliophora",0.0423763847537995,0.195208980108752,0.0305812191687719,1.38569965180042,0.315170736558327,0.320286339394937,11,0.663064254010279,0.99,"Ciliophora","CC4_Control",0.315170736558327,0.320286339394937,"Control",-0.0423763847537995
"Discosea",0.0153841341339201,0.195208980108752,0.0106148279578125,1.44930602691468,0.0686471061672761,0.091086515517305,5,0.741872791021996,0.698,"Discosea","CC4_Control",0.0686471061672761,0.091086515517305,"Control",-0.0153841341339201
"Endomyxa",0.00540783684487117,0.195208980108752,0.00362494960713078,1.49183779940919,0.0278218346496669,0.0193432358249873,3,0.808599910677868,0.058,"Endomyxa","CC4_Control",0.0278218346496669,0.0193432358249873,"AMF",0.00540783684487117
"Euglenozoa",0.0127627836464679,0.195208980108752,0.01025825952616,1.2441470810834,0.0373218288838317,0.0525058765030116,7,0.873980015831625,0.499,"Euglenozoa","CC4_Control",0.0373218288838317,0.0525058765030116,"Control",-0.0127627836464679
"Evosea",0.0361503208925138,0.195208980108752,0.0358886549399989,1.00729104930102,0.175616915561827,0.232441429328894,16,0.920819699122082,0.129,"Evosea","CC4_Control",0.175616915561827,0.232441429328894,"Control",-0.0361503208925138
"Haptophyta",0.00155043478836086,0.195208980108752,0.00131692779913237,1.17731191442867,0.00863228645615715,0.00724671973799133,6,0.948522506861041,0.833,"Haptophyta","CC4_Control",0.00863228645615715,0.00724671973799133,"AMF",0.00155043478836086
"Heterolobosea",0.00175833085249046,0.195208980108752,0.00131977526450928,1.33229565652168,0.0142551292321716,0.0145350829667874,2,0.969493698443092,0.95,"Heterolobosea","CC4_Control",0.0142551292321716,0.0145350829667874,"Control",-0.00175833085249046
"Oomycota",0.0250206462035975,0.195208980108752,0.0198746397781569,1.25892325510706,0.171228015028876,0.133818970366363,10,0.978501126541486,0.802,"Oomycota","CC4_Control",0.171228015028876,0.133818970366363,"AMF",0.0250206462035975
"Parabasalia",0.00029754775213436,0.195208980108752,0.000294173227761475,1.01147121510194,0.000803499201646498,0.000886153877141728,9,0.986443562322346,0.769,"Parabasalia","CC4_Control",0.000803499201646498,0.000886153877141728,"Control",-0.00029754775213436
"Perkinsozoa",0.00113064808488495,0.195208980108752,0.00177352882775428,0.637513226281543,0.00326560063630197,0.00191335401427984,15,0.992272784890412,0.728,"Perkinsozoa","CC4_Control",0.00326560063630197,0.00191335401427984,"AMF",0.00113064808488495
"Picozoa",8.02259436043307e-05,0.195208980108752,0.00018022296418879,0.445148285988078,0.000160451887208661,0,13,0.998064772965218,0.752,"Picozoa","CC4_Control",0.000160451887208661,0,"AMF",8.02259436043307e-05
"Preaxostyla",0.00113791659233908,0.195208980108752,0.000878196026093899,1.29574327203505,0.00279248442336395,0.00492556927518757,12,0.9995890253432,0.007,"Preaxostyla","CC4_Control",0.00279248442336395,0.00492556927518757,"Control",-0.00113791659233908
