"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison","mean_amf","mean_control","direction","signed_average"
"Artverviricota",0.000537995142351409,0.145226150024912,0.000495216550336088,1.08638360730531,0.000491369897014538,0.00134020843483188,7,0.434983329421812,0.964,"Artverviricota","CC4_Control",0.000491369897014538,0.00134020843483188,"Control",-0.000537995142351409
"Cossaviricota",1.27028678555073e-05,0.145226150024912,2.66502870662914e-05,0.476650319897472,2.54057357110145e-05,0,12,0.744193967356276,0.439,"Cossaviricota","CC4_Control",2.54057357110145e-05,0,"AMF",1.27028678555073e-05
"Cressdnaviricota",0.000915667713918973,0.145226150024912,0.00115738813128964,0.791150081087039,0.00176311064871146,0.000381013896448765,14,0.823929762584006,0.008,"Cressdnaviricota","CC4_Control",0.00176311064871146,0.000381013896448765,"AMF",0.000915667713918973
"Duplornaviricota",0.0035161799788859,0.145226150024912,0.00361021937617683,0.973951888377898,0.00670567265351919,0.005860578996132,8,0.881796547380875,0.033,"Duplornaviricota","CC4_Control",0.00670567265351919,0.005860578996132,"AMF",0.0035161799788859
"Hofneiviricota",0.000109521691392417,0.145226150024912,0.000156022116227244,0.701962606589053,0.000119702700417415,0.000139241582506557,6,0.932014155839275,0.033,"Hofneiviricota","CC4_Control",0.000119702700417415,0.000139241582506557,"Control",-0.000109521691392417
"Kitrinoviricota",0.00729290993987184,0.145226150024912,0.0096667469838647,0.754432690960552,0.0206877633098586,0.03177887012357,9,0.962919364189469,0.647,"Kitrinoviricota","CC4_Control",0.0206877633098586,0.03177887012357,"Control",-0.00729290993987184
"Lenarviricota",0.0631709542569478,0.145226150024912,0.0516988164831624,1.2219032959395,0.830707878512125,0.807784550842121,4,0.987131119291995,0.353,"Lenarviricota","CC4_Control",0.830707878512125,0.807784550842121,"AMF",0.0631709542569478
"Negarnaviricota",0.00840377037036942,0.145226150024912,0.0105565693492502,0.79607020920734,0.0194360997839562,0.023621692792898,3,0.993436235235383,0.739,"Negarnaviricota","CC4_Control",0.0194360997839562,0.023621692792898,"Control",-0.00840377037036942
"Nucleocytoviricota",0.00448824442441647,0.145226150024912,0.00442276101063385,1.01480600322404,0.00873601499470815,0.0108593327150908,1,0.997140768766425,0.253,"Nucleocytoviricota","CC4_Control",0.00873601499470815,0.0108593327150908,"Control",-0.00448824442441647
"Peploviricota",4.69936553853676e-06,0.145226150024912,1.49173110498561e-05,0.315027656313575,9.39873107707353e-06,0,11,0.999030594536232,0.001,"Peploviricota","CC4_Control",9.39873107707353e-06,0,"AMF",4.69936553853676e-06
"Phixviricota",0.000274452120766907,0.145226150024912,0.000576284069491441,0.476244503876543,0.000121680661230757,0.000486537942840817,5,0.999784740338304,0.208,"Phixviricota","CC4_Control",0.000121680661230757,0.000486537942840817,"Control",-0.000274452120766907
"Pisuviricota",0.0449054704939692,0.145226150024912,0.0508631822075306,0.882867892746999,0.0925602164469238,0.080591396545998,13,0.999880171488461,0.558,"Pisuviricota","CC4_Control",0.0925602164469238,0.080591396545998,"AMF",0.0449054704939692
"Preplasmiviricota",1.38590985297015e-05,0.145226150024912,3.16595443332371e-05,0.437754200876221,2.2575096707089e-05,6.79635158921594e-06,2,0.9999676410513,0.567,"Preplasmiviricota","CC4_Control",2.2575096707089e-05,6.79635158921594e-06,"AMF",1.38590985297015e-05
"Uroviricota",0.011579722560098,0.145226150024912,0.0120415128019835,0.961650147329538,0.0186131108280397,0.0371497797759731,10,1,0.655,"Uroviricota","CC4_Control",0.0186131108280397,0.0371497797759731,"Control",-0.011579722560098
"Artverviricota",0.00102615193929023,0.132513933063252,0.00100033076094597,1.02581264053086,0.00223088424572441,0.00134020843483188,7,0.390741336871628,0.178,"Artverviricota","Cuba8_Control",0.00223088424572441,0.00134020843483188,"AMF",0.00102615193929023
"Cossaviricota",1.41486010618471e-05,0.132513933063252,2.95034828690899e-05,0.4795569772093,2.82972021236943e-05,0,12,0.734102589192963,0.358,"Cossaviricota","Cuba8_Control",2.82972021236943e-05,0,"AMF",1.41486010618471e-05
"Cressdnaviricota",0.000288893268863116,0.132513933063252,0.00045473385797154,0.635301866792591,0.000308788561947002,0.000381013896448765,14,0.817026732607347,0.925,"Cressdnaviricota","Cuba8_Control",0.000308788561947002,0.000381013896448765,"Control",-0.000288893268863116
"Duplornaviricota",0.00192003663537907,0.132513933063252,0.00213680159762268,0.898556345855986,0.00314395204919071,0.005860578996132,8,0.884780975001789,0.824,"Duplornaviricota","Cuba8_Control",0.00314395204919071,0.005860578996132,"Control",-0.00192003663537907
"Hofneiviricota",6.96207912532783e-05,0.132513933063252,0.000159363127335855,0.4368688818873,0,0.000139241582506557,6,0.943489685902765,0.443,"Hofneiviricota","Cuba8_Control",0,0.000139241582506557,"Control",-6.96207912532783e-05
"Kitrinoviricota",0.00777972218656181,0.132513933063252,0.0093431100427797,0.832669437793247,0.0226569220300388,0.03177887012357,9,0.972902496192319,0.498,"Kitrinoviricota","Cuba8_Control",0.0226569220300388,0.03177887012357,"Control",-0.00777972218656181
"Lenarviricota",0.0517786713592527,0.132513933063252,0.0582855835531827,0.88836155019375,0.816676513003337,0.807784550842121,4,0.987391815096336,0.723,"Lenarviricota","Cuba8_Control",0.816676513003337,0.807784550842121,"AMF",0.0517786713592527
"Negarnaviricota",0.00897838114140843,0.132513933063252,0.010386648442197,0.864415618895189,0.0210179121306698,0.023621692792898,1,0.995135543741085,0.658,"Negarnaviricota","Cuba8_Control",0.0210179121306698,0.023621692792898,"Control",-0.00897838114140843
"Nucleocytoviricota",0.00389760717391209,0.132513933063252,0.0042301415372754,0.921389305669073,0.00724146462367681,0.0108593327150908,3,0.997315641049986,0.591,"Nucleocytoviricota","Cuba8_Control",0.00724146462367681,0.0108593327150908,"Control",-0.00389760717391209
"Peploviricota",0,0.132513933063252,0,NA,0,0,11,0.999158034998593,NA,"Peploviricota","Cuba8_Control",0,0,"Control",0
"Phixviricota",0.000244142868381854,0.132513933063252,0.000577729066289507,0.42259059242055,6.48731036625687e-05,0.000486537942840817,5,0.999683419685651,0.408,"Phixviricota","Cuba8_Control",6.48731036625687e-05,0.000486537942840817,"Control",-0.000244142868381854
"Pisuviricota",0.0455001500066239,0.132513933063252,0.0702313382665869,0.647861070707675,0.102718605650364,0.080591396545998,13,0.999893229332684,0.511,"Pisuviricota","Cuba8_Control",0.102718605650364,0.080591396545998,"AMF",0.0455001500066239
"Preplasmiviricota",2.78027015228741e-05,0.132513933063252,7.29009022387366e-05,0.381376645131572,5.03446398419743e-05,6.79635158921594e-06,2,1,0.28,"Preplasmiviricota","Cuba8_Control",5.03446398419743e-05,6.79635158921594e-06,"AMF",2.78027015228741e-05
"Uroviricota",0.0109886043897413,0.132513933063252,0.0111155325794412,0.988581006911481,0.0238614427594234,0.0371497797759731,10,1,0.688,"Uroviricota","Cuba8_Control",0.0238614427594234,0.0371497797759731,"Control",-0.0109886043897413
"Artverviricota",0.000820381751773056,0.121007322313196,0.000760603199967129,1.07859361071385,0.00162307836351796,0.00134020843483188,7,0.342970045171302,0.601,"Artverviricota","DAOM197198_Control",0.00162307836351796,0.00134020843483188,"AMF",0.000820381751773056
"Cossaviricota",0,0.121007322313196,0,NA,0,0,12,0.597360656540981,NA,"Cossaviricota","DAOM197198_Control",0,0,"Control",0
"Cressdnaviricota",0.000207836066604882,0.121007322313196,0.000469895048497094,0.442303163801411,9.65976992499417e-05,0.000381013896448765,14,0.747787659109737,0.942,"Cressdnaviricota","DAOM197198_Control",9.65976992499417e-05,0.000381013896448765,"Control",-0.000207836066604882
"Duplornaviricota",0.00222297567719072,0.121007322313196,0.00214213838276308,1.03773672843833,0.00379074391080926,0.005860578996132,8,0.855501430921419,0.646,"Duplornaviricota","DAOM197198_Control",0.00379074391080926,0.005860578996132,"Control",-0.00222297567719072
"Hofneiviricota",6.96207912532783e-05,0.121007322313196,0.000159302290102358,0.437035721260153,0,0.000139241582506557,6,0.933876392974666,0.395,"Hofneiviricota","DAOM197198_Control",0,0.000139241582506557,"Control",-6.96207912532783e-05
"Kitrinoviricota",0.00948394429446174,0.121007322313196,0.00960078452957838,0.987830136718862,0.0327203760851026,0.03177887012357,9,0.970459621776307,0.197,"Kitrinoviricota","DAOM197198_Control",0.0327203760851026,0.03177887012357,"AMF",0.00948394429446174
"Lenarviricota",0.0415018867998151,0.121007322313196,0.0315641224801234,1.31484367499682,0.778909644474012,0.807784550842121,4,0.988830209891934,0.923,"Lenarviricota","DAOM197198_Control",0.778909644474012,0.807784550842121,"Control",-0.0415018867998151
"Negarnaviricota",0.0130341551031862,0.121007322313196,0.0122546414630938,1.06360966515748,0.0325850206228125,0.023621692792898,1,0.99560981410175,0.021,"Negarnaviricota","DAOM197198_Control",0.0325850206228125,0.023621692792898,"AMF",0.0130341551031862
"Nucleocytoviricota",0.00442683855885759,0.121007322313196,0.00405502064649775,1.09169322298789,0.0096502215357424,0.0108593327150908,11,0.997679024473198,0.304,"Nucleocytoviricota","DAOM197198_Control",0.0096502215357424,0.0108593327150908,"Control",-0.00442683855885759
"Peploviricota",0,0.121007322313196,0,NA,0,0,3,0.999396573978731,NA,"Peploviricota","DAOM197198_Control",0,0,"Control",0
"Phixviricota",0.000250389606351593,0.121007322313196,0.000567719326179931,0.44104471136541,0.000125524147739778,0.000486537942840817,5,0.99997191760193,0.341,"Phixviricota","DAOM197198_Control",0.000125524147739778,0.000486537942840817,"Control",-0.000250389606351593
"Pisuviricota",0.0307831267034616,0.121007322313196,0.0289176938159642,1.06450835600409,0.0938876801341914,0.080591396545998,13,1,0.887,"Pisuviricota","DAOM197198_Control",0.0938876801341914,0.080591396545998,"AMF",0.0307831267034616
"Preplasmiviricota",3.39817579460797e-06,0.121007322313196,1.13134093772226e-05,0.300367084872712,0,6.79635158921594e-06,2,1,0.874,"Preplasmiviricota","DAOM197198_Control",0,6.79635158921594e-06,"Control",-3.39817579460797e-06
"Uroviricota",0.0182027687844454,0.121007322313196,0.0247837427177259,0.734464079609185,0.0466111130268223,0.0371497797759731,10,1,0.179,"Uroviricota","DAOM197198_Control",0.0466111130268223,0.0371497797759731,"AMF",0.0182027687844454
