"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison"
"Ascomycota",0.0468163213946105,0.156734846745268,0.0334001884464776,1.40167836087607,0.362643217212805,0.331266657989832,7,0.398593547590693,0.998,"Ascomycota","CC4_Cuba8"
"Basidiomycota",0.0437006474101267,0.156734846745268,0.0299661978535199,1.45833140472953,0.139648829642522,0.125721073621167,1,0.697291140160508,0.782,"Basidiomycota","CC4_Cuba8"
"Blastocladiomycota",0.000252580792331006,0.156734846745268,0.000273767547005329,0.922610422944286,0.000719925900493997,0.000875873006639987,2,0.97611010299875,0.675,"Blastocladiomycota","CC4_Cuba8"
"Chytridiomycota",0.0022434277505758,0.156734846745268,0.00188563437487426,1.189746952256,0.00887944448305202,0.00581189395520263,4,0.990423625467828,0.806,"Chytridiomycota","CC4_Cuba8"
"Cryptomycota",0.000283921912549036,0.156734846745268,0.000200073152427024,1.41909051316916,0.000942932068223373,0.000807950216435697,9,0.995428838631596,0.653,"Cryptomycota","CC4_Cuba8"
"Microsporidia",0.000120710704308363,0.156734846745268,0.000128951306272117,0.936095242444735,0.000276470388914959,0.000190391579918479,5,0.997240317817271,0.694,"Microsporidia","CC4_Cuba8"
"Mucoromycota",0.0624734985952801,0.156734846745268,0.0449785350627326,1.38896250196114,0.485053243406813,0.532402261061382,3,0.998851834321584,1,"Mucoromycota","CC4_Cuba8"
"Olpidiomycota",5.92468673363333e-05,0.156734846745268,5.53069874346928e-05,1.0712365667411,0.000144410907963326,0.000128935676124086,6,0.999621993011978,0.673,"Olpidiomycota","CC4_Cuba8"
"Zoopagomycota",0.000784491318150557,0.156734846745268,0.00063071179375989,1.24381900879629,0.00169152598921246,0.00279496289329845,8,1,0.992,"Zoopagomycota","CC4_Cuba8"
"Ascomycota",0.0668561027789402,0.195827406138015,0.0458592114599235,1.45785548095099,0.362643217212805,0.341611695381889,7,0.418795319448386,0.736,"Ascomycota","CC4_DAOM197198"
"Basidiomycota",0.0410753676841794,0.195827406138015,0.0312620238278639,1.31390622406118,0.139648829642522,0.136213534772623,1,0.760198517792449,0.893,"Basidiomycota","CC4_DAOM197198"
"Blastocladiomycota",0.000656899102497608,0.195827406138015,0.00127307280628792,0.515994921306206,0.000719925900493997,0.00174839760270985,2,0.969951424672246,0.129,"Blastocladiomycota","CC4_DAOM197198"
