"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison"
"Apicomplexa",0.0250486459309741,0.202515150260996,0.0207288138334962,1.20839745738357,0.0717143023805274,0.034018058069234,4,0.263344459368064,0.003,"Apicomplexa","CC4_Cuba8"
"Bacillariophyta",0.008097136382942,0.202515150260996,0.0051703517262753,1.56607070691014,0.0328246878171197,0.0467991846539055,11,0.427004750698493,0.017,"Bacillariophyta","CC4_Cuba8"
"Cercozoa",0.0111225191068909,0.202515150260996,0.00833551883036238,1.33435234605635,0.0455193697718025,0.0336653421669518,8,0.554274278041189,0.189,"Cercozoa","CC4_Cuba8"
"Ciliophora",0.0533312427593243,0.202515150260996,0.0379743685520603,1.40440104188199,0.315170736558327,0.294589324913416,1,0.677962041147761,0.613,"Ciliophora","CC4_Cuba8"
"Discosea",0.0109095463815063,0.202515150260996,0.00795255280346323,1.37182948056067,0.0686471061672761,0.0815876870217725,7,0.748018084467152,0.993,"Discosea","CC4_Cuba8"
"Endomyxa",0.00437443134285652,0.202515150260996,0.00321262436179967,1.36163797886598,0.0278218346496669,0.0243127611859171,3,0.802939995704689,0.752,"Endomyxa","CC4_Cuba8"
"Euglenozoa",0.0141874101395173,0.202515150260996,0.012614089558566,1.12472724041212,0.0373218288838317,0.0550079567021263,5,0.856810268459327,0.237,"Euglenozoa","CC4_Cuba8"
"Evosea",0.025774007453452,0.202515150260996,0.0168456158470708,1.53001277527849,0.175616915561827,0.197710739789596,16,0.90002954216838,0.667,"Evosea","CC4_Cuba8"
"Haptophyta",0.00258626329092391,0.202515150260996,0.00215563712878625,1.19976746382176,0.00863228645615715,0.0120584781444725,2,0.940012409487228,0.015,"Haptophyta","CC4_Cuba8"
"Heterolobosea",0.00246812090560604,0.202515150260996,0.00158383822700103,1.55831628731388,0.0142551292321716,0.0163359302242889,6,0.961612923509111,0.14,"Heterolobosea","CC4_Cuba8"
"Oomycota",0.0331436884905402,0.202515150260996,0.0287729628803571,1.15190391161165,0.171228015028876,0.158753985883069,9,0.974383638626429,0.265,"Oomycota","CC4_Cuba8"
"Parabasalia",0.000360407955298511,0.202515150260996,0.000303154474202463,1.18885909979284,0.000803499201646498,0.00120385425930635,10,0.986570978202876,0.354,"Parabasalia","CC4_Cuba8"
"Perkinsozoa",0.00139736346150234,0.202515150260996,0.00157094929040748,0.889502589316479,0.00326560063630197,0.00325317686125949,13,0.993471022272179,0.449,"Perkinsozoa","CC4_Cuba8"
"Picozoa",0.000134826080658889,0.202515150260996,0.000152768149803555,0.882553600552614,0.000160451887208661,0.000169691678326254,15,0.997554582779021,0.113,"Picozoa","CC4_Cuba8"
"Preaxostyla",0.000826982869642985,0.202515150260996,0.000556889433306417,1.48500370124271,0.00279248442336395,0.00404844903118495,12,0.999334242003696,0.616,"Preaxostyla","CC4_Cuba8"
