"species","average","overall","sd","ratio","ava","avb","ord","cusum","p","phylum","comparison"
"Artverviricota",0.0010037293986186,0.153459882757443,0.00116214209937339,0.863689043843944,0.000491369897014538,0.00223088424572441,7,0.440181722464685,0.204,"Artverviricota","CC4_Cuba8"
"Cossaviricota",2.23090680008168e-05,0.153459882757443,3.28982306340609e-05,0.67812364284781,2.54057357110145e-05,2.82972021236943e-05,12,0.821600192138513,0.039,"Cossaviricota","CC4_Cuba8"
"Cressdnaviricota",0.000882958712530595,0.153459882757443,0.00112671733867538,0.783655919921,0.00176311064871146,0.000308788561947002,14,0.875474568255335,0.041,"Cressdnaviricota","CC4_Cuba8"
"Duplornaviricota",0.00295535574566266,0.153459882757443,0.00381591135315985,0.774482285395705,0.00670567265351919,0.00314395204919071,8,0.913126110810937,0.321,"Duplornaviricota","CC4_Cuba8"
"Hofneiviricota",5.98513502087074e-05,0.153459882757443,0.000104751270947745,0.571366339207132,0.000119702700417415,0,6,0.945644701032498,0.533,"Hofneiviricota","CC4_Cuba8"
"Kitrinoviricota",0.00499029904283801,0.153459882757443,0.00350454160958678,1.42395200250638,0.0206877633098586,0.0226569220300388,9,0.967110514059891,0.945,"Kitrinoviricota","CC4_Cuba8"
"Lenarviricota",0.0675502355214,0.153459882757443,0.0779460959193338,0.866627567739987,0.830707878512125,0.816676513003337,4,0.986368679077088,0.236,"Lenarviricota","CC4_Cuba8"
"Negarnaviricota",0.00577800130621971,0.153459882757443,0.00469133128818398,1.23163361342072,0.0194360997839562,0.0210179121306698,1,0.992909342217077,0.963,"Negarnaviricota","CC4_Cuba8"
"Nucleocytoviricota",0.00329414115047692,0.153459882757443,0.00300448325935986,1.09640855551939,0.00873601499470815,0.00724146462367681,3,0.998663019964415,0.818,"Nucleocytoviricota","CC4_Cuba8"
"Peploviricota",4.69936553853676e-06,0.153459882757443,1.49287113656583e-05,0.31478708533056,9.39873107707353e-06,0,11,0.999212368775492,0.242,"Peploviricota","CC4_Cuba8"
"Phixviricota",8.43030041408332e-05,0.153459882757443,0.000170304084732453,0.495014575095325,0.000121680661230757,6.48731036625687e-05,5,0.999602381781714,0.742,"Phixviricota","CC4_Cuba8"
"Pisuviricota",0.058532433637669,0.153459882757443,0.0774139646414831,0.756096576486457,0.0925602164469238,0.102718605650364,13,0.999824003296145,0.181,"Pisuviricota","CC4_Cuba8"
"Preplasmiviricota",3.40100116209877e-05,0.153459882757443,7.43370125907194e-05,0.457511143314814,2.2575096707089e-05,5.03446398419743e-05,2,0.999969377237529,0.139,"Preplasmiviricota","CC4_Cuba8"
"Uroviricota",0.00826755544251777,0.153459882757443,0.00673362802073114,1.22780103341973,0.0186131108280397,0.0238614427594234,10,1,0.904,"Uroviricota","CC4_Cuba8"
"Artverviricota",0.000731845566937422,0.165115482628736,0.000871975065104249,0.839296438883749,0.000491369897014538,0.00162307836351796,7,0.432796836150639,0.795,"Artverviricota","CC4_DAOM197198"
"Cossaviricota",1.27028678555073e-05,0.165115482628736,2.66595390322241e-05,0.476484902464104,2.54057357110145e-05,0,12,0.724337116928336,0.453,"Cossaviricota","CC4_DAOM197198"
"Cressdnaviricota",0.000868786144437894,0.165115482628736,0.00118950028003496,0.73037910038353,0.00176311064871146,9.65976992499417e-05,14,0.830863224046275,0.045,"Cressdnaviricota","CC4_DAOM197198"
"Duplornaviricota",0.00315364769122738,0.165115482628736,0.00378733225037092,0.832683134921295,0.00670567265351919,0.00379074391080926,8,0.894606258858863,0.212,"Duplornaviricota","CC4_DAOM197198"
"Hofneiviricota",5.98513502087074e-05,0.165115482628736,0.000104707615488067,0.571604557411856,0.000119702700417415,0,6,0.945973492380707,0.558,"Hofneiviricota","CC4_DAOM197198"
"Kitrinoviricota",0.00848152555426226,0.165115482628736,0.00746569858097199,1.13606589688463,0.0206877633098586,0.0327203760851026,9,0.970018646560706,0.311,"Kitrinoviricota","CC4_DAOM197198"
"Lenarviricota",0.071461458481203,0.165115482628736,0.050913380418667,1.40358895625407,0.830707878512125,0.778909644474012,4,0.989118295127997,0.126,"Lenarviricota","CC4_DAOM197198"
"Negarnaviricota",0.0105249619573009,0.165115482628736,0.010039549353187,1.04835003913396,0.0194360997839562,0.0325850206228125,3,0.994379983072739,0.376,"Negarnaviricota","CC4_DAOM197198"
"Nucleocytoviricota",0.00397022723731292,0.165115482628736,0.0031064042314552,1.27807810622672,0.00873601499470815,0.0096502215357424,1,0.998812308589922,0.526,"Nucleocytoviricota","CC4_DAOM197198"
"Peploviricota",4.69936553853676e-06,0.165115482628736,1.49224897728206e-05,0.314918328648887,9.39873107707353e-06,0,11,0.999463762388925,0.001,"Peploviricota","CC4_DAOM197198"
"Phixviricota",0.000107565108432727,0.165115482628736,0.000165927311189221,0.648266446685568,0.000121680661230757,0.000125524147739778,5,0.999826244145668,0.651,"Phixviricota","CC4_DAOM197198"
"Pisuviricota",0.0481378141663266,0.165115482628736,0.0439539510071353,1.09518741918132,0.0925602164469238,0.0938876801341914,2,0.999903177378417,0.454,"Pisuviricota","CC4_DAOM197198"
"Preplasmiviricota",1.12875483535445e-05,0.165115482628736,3.17152178166686e-05,0.355903226608524,2.2575096707089e-05,0,13,0.999971538916498,0.664,"Preplasmiviricota","CC4_DAOM197198"
"Uroviricota",0.017589109589339,0.165115482628736,0.0268018662623648,0.656264359248656,0.0186131108280397,0.0466111130268223,10,1,0.273,"Uroviricota","CC4_DAOM197198"
"Artverviricota",0.000537995142351409,0.145226150024912,0.000495216550336088,1.08638360730531,0.000491369897014538,0.00134020843483188,7,0.434983329421812,0.964,"Artverviricota","CC4_Control"
"Cossaviricota",1.27028678555073e-05,0.145226150024912,2.66502870662914e-05,0.476650319897472,2.54057357110145e-05,0,12,0.744193967356276,0.439,"Cossaviricota","CC4_Control"
"Cressdnaviricota",0.000915667713918973,0.145226150024912,0.00115738813128964,0.791150081087039,0.00176311064871146,0.000381013896448765,14,0.823929762584006,0.008,"Cressdnaviricota","CC4_Control"
"Duplornaviricota",0.0035161799788859,0.145226150024912,0.00361021937617683,0.973951888377898,0.00670567265351919,0.005860578996132,8,0.881796547380875,0.033,"Duplornaviricota","CC4_Control"
"Hofneiviricota",0.000109521691392417,0.145226150024912,0.000156022116227244,0.701962606589053,0.000119702700417415,0.000139241582506557,6,0.932014155839275,0.033,"Hofneiviricota","CC4_Control"
"Kitrinoviricota",0.00729290993987184,0.145226150024912,0.0096667469838647,0.754432690960552,0.0206877633098586,0.03177887012357,9,0.962919364189469,0.647,"Kitrinoviricota","CC4_Control"
"Lenarviricota",0.0631709542569478,0.145226150024912,0.0516988164831624,1.2219032959395,0.830707878512125,0.807784550842121,4,0.987131119291995,0.353,"Lenarviricota","CC4_Control"
"Negarnaviricota",0.00840377037036942,0.145226150024912,0.0105565693492502,0.79607020920734,0.0194360997839562,0.023621692792898,3,0.993436235235383,0.739,"Negarnaviricota","CC4_Control"
"Nucleocytoviricota",0.00448824442441647,0.145226150024912,0.00442276101063385,1.01480600322404,0.00873601499470815,0.0108593327150908,1,0.997140768766425,0.253,"Nucleocytoviricota","CC4_Control"
"Peploviricota",4.69936553853676e-06,0.145226150024912,1.49173110498561e-05,0.315027656313575,9.39873107707353e-06,0,11,0.999030594536232,0.001,"Peploviricota","CC4_Control"
"Phixviricota",0.000274452120766907,0.145226150024912,0.000576284069491441,0.476244503876543,0.000121680661230757,0.000486537942840817,5,0.999784740338304,0.208,"Phixviricota","CC4_Control"
"Pisuviricota",0.0449054704939692,0.145226150024912,0.0508631822075306,0.882867892746999,0.0925602164469238,0.080591396545998,13,0.999880171488461,0.558,"Pisuviricota","CC4_Control"
