name,uid,phylum,family,genus,kingdom
Abditibacteriaceae,2109261,Abditibacteriota,Abditibacteriaceae,NA,Bacteria
Abditibacteriales,2109260,Abditibacteriota,NA,NA,Bacteria
Abditibacteriota,2109258,Abditibacteriota,NA,NA,Bacteria
Abditibacterium,2109263,Abditibacteriota,Abditibacteriaceae,Abditibacterium,Bacteria
Acanthopleuribacter,442869,Acidobacteriota,Acanthopleuribacteraceae,Acanthopleuribacter,Bacteria
Acidicapsa,1078830,Acidobacteriota,Acidobacteriaceae,Acidicapsa,Bacteria
Acidipila,1000999,Acidobacteriota,Acidobacteriaceae,Acidipila,Bacteria
Acidisarcina,2608728,Acidobacteriota,Acidobacteriaceae,Acidisarcina,Bacteria
Acidobacteria,57723,Acidobacteriota,NA,NA,Bacteria
Acidobacteriaceae,204434,Acidobacteriota,Acidobacteriaceae,NA,Bacteria
Acidobacteriales,204433,Acidobacteriota,NA,NA,Bacteria
Acidobacteriia,204432,Acidobacteriota,NA,NA,Bacteria
Acidobacteriota,57723,Acidobacteriota,NA,NA,Bacteria
Acidobacterium,33973,Acidobacteriota,Acidobacteriaceae,Acidobacterium,Bacteria
Alloacidobacterium,2951993,Acidobacteriota,Acidobacteriaceae,Alloacidobacterium,Bacteria
Aridibacter,1562564,Acidobacteriota,Blastocatellaceae,Aridibacter,Bacteria
Blastocatellales,1748771,Acidobacteriota,NA,NA,Bacteria
Blastocatellia,1562566,Acidobacteriota,NA,NA,Bacteria
Bryobacter,911113,Acidobacteriota,Bryobacteraceae,Bryobacter,Bacteria
Bryobacteraceae,1962910,Acidobacteriota,Bryobacteraceae,NA,Bacteria
Bryobacterales,332160,Acidobacteriota,NA,NA,Bacteria
Bryocella,1078860,Acidobacteriota,Acidobacteriaceae,Bryocella,Bacteria
Chloracidobacterium,458032,Acidobacteriota,Chloracidobacteriaceae,Chloracidobacterium,Bacteria
Edaphobacter,388463,Acidobacteriota,Acidobacteriaceae,Edaphobacter,Bacteria
Geothrix,44675,Acidobacteriota,Holophagaceae,Geothrix,Bacteria
Granulicella,940557,Acidobacteriota,Acidobacteriaceae,Granulicella,Bacteria
Holophaga,35838,Acidobacteriota,Holophagaceae,Holophaga,Bacteria
Holophagaceae,574976,Acidobacteriota,Holophagaceae,NA,Bacteria
Holophagae,533205,Acidobacteriota,NA,NA,Bacteria
Holophagales,574975,Acidobacteriota,NA,NA,Bacteria
Luteitalea,2004797,Acidobacteriota,Vicinamibacteraceae,Luteitalea,Bacteria
Mesoterricola,3074468,Acidobacteriota,Holophagaceae,Mesoterricola,Bacteria
Occallatibacter,1742983,Acidobacteriota,Acidobacteriaceae,Occallatibacter,Bacteria
Paludibaculum,1649475,Acidobacteriota,Bryobacteraceae,Paludibaculum,Bacteria
Paracidobacterium,2951992,Acidobacteriota,Acidobacteriaceae,Paracidobacterium,Bacteria
Pseudacidobacterium,2952002,Acidobacteriota,Acidobacteriaceae,Pseudacidobacterium,Bacteria
Pyrinomonadaceae,2048906,Acidobacteriota,Pyrinomonadaceae,NA,Bacteria
Pyrinomonas,1562565,Acidobacteriota,Pyrinomonadaceae,Pyrinomonas,Bacteria
Silvibacterium,1775468,Acidobacteriota,Acidobacteriaceae,Silvibacterium,Bacteria
Solibacteraceae,332161,Acidobacteriota,Solibacteraceae,NA,Bacteria
Sulfidibacter,2915177,Acidobacteriota,Acanthopleuribacteraceae,Sulfidibacter,Bacteria
Terracidiphilus,1742983,Acidobacteriota,Acidobacteriaceae,Occallatibacter,Bacteria
Terriglobales,204433,Acidobacteriota,NA,NA,Bacteria
