phylum,kingdom,CC4_203_high_fert,CC4_261_no_fert,CC4_264_no_fert_till,CC4_284_high_fert,CC4_287_high_fert_till,CC4_304_no_fert,CC4_309_high_fert,CC4_50_high_fert_till,CC4_59_no_fert_till,CC4_82_no_fert_till,CC4_93_no_fert,Cuba8_248_no_fert_till,Cuba8_254_no_fert,Cuba8_260_no_fert_till,Cuba8_263_high_fert_till,Cuba8_279_no_fert,Cuba8_308_no_fert_till,Cuba8_315_high_fert,Cuba8_320_high_fert_till,Cuba8_7_high_fert_till,Cuba8_8_high_fert,DAOM197198_104_no_fert,DAOM197198_150_high_fert_till,DAOM197198_158_high_fert,DAOM197198_16_high_fert_till,DAOM197198_18_no_fert,DAOM197198_210_no_fert_till,DAOM197198_235_no_fert,DAOM197198_240_no_fert_till,DAOM197198_286_high_fert_till,DAOM197198_40_no_fert_till,DAOM197198_5_high_fert,DAOM197198_72_high_fert,Control_125_high_fert,Control_128_high_fert_till,Control_139_no_fert_till,Control_17_no_fert,Control_23_no_fert_till,Control_25_high_fert_till,Control_30_high_fert,Control_33_high_fert,Control_52_no_fert,Control_71_no_fert_till,Control_74_no_fert,Control_95_high_fert_till
Abditibacteriota,Bacteria,38.8955792,22.59570534,27.35687074,24.73026994,34.28728987,40.17279678,80.04613385,99.10779225,51.55577692,68.10491623,13.50412927,14.08616539,18.07803131,31.04541016,55.16370743,22.26982249,52.77564422,40.35034264,127.981864,64.29043988,29.76940691,0,34.85735912,52.56946725,28.17938331,26.66532092,25.87529084,20.97250216,32.64729024,48.24346347,49.18988024,39.00565866,52.13843668,32.98182776,33.19711401,28.54257056,12.77436415,19.07488354,51.90995322,114.8103818,15.70257701,77.86528363,8.603014652,33.43822069,43.14799041
Acidobacteriota,Bacteria,2817.953943,14086.45915,19722.16495,5562.170634,1252.671658,8875.114069,3977.913282,3339.217971,7849.923385,9715.620602,8791.689631,11447.11434,11432.91614,12292.03099,7870.426447,12827.48674,16318.11207,4690.159551,7977.641732,3138.15769,3169.669743,0,3479.389442,6130.724686,12489.16009,25033.20585,11376.42206,17423.07863,8830.237565,9059.55285,13530.10749,13683.11708,7841.595082,2369.278303,3165.150186,10401.45229,15930.1765,5266.641677,1430.842885,8468.243465,8263.374087,6879.709172,6351.223531,2532.49059,4543.023742
Actinomycetota,Bacteria,17513.73264,13252.26248,10007.01345,26426.72507,18822.21132,18610.96948,32118.95789,16789.23,6577.25509,5567.251915,6289.563091,8166.912561,6891.582133,6569.930493,17372.42757,9445.777862,8711.020048,26308.67478,30593.38941,19782.65162,15823.4723,0,17310.45159,33290.13706,15618.52681,9058.161714,7425.597388,9471.923269,11478.53687,21954.66999,5160.259029,48164.17403,24389.57532,17238.20634,20605.93368,8339.023519,14928.33561,10176.57767,41060.43354,19799.55682,22244.34461,10865.71454,6610.825131,7688.626739,17169.55482
Apicomplexa,Protists ,114.0425744,109.8697395,141.3457733,78.63855065,146.2023913,219.391346,420.1858559,126.2227092,67.81183843,64.5415027,64.73794609,39.31887566,43.18145161,56.33395038,32.58711913,147.5431869,72.14965785,34.77496701,24.56268469,173.7942198,76.57510974,0,80.35626911,66.85547502,12.7393674,19.38964117,79.97755693,61.30820725,63.97370001,46.52580109,36.27684956,19.15637487,64.28513718,66.89798754,35.68438004,31.52305382,10.0755631,29.01425541,29.63903589,25.31628343,27.9818539,29.15451107,36.86501755,23.01231873,41.9424756
Aquificota,Bacteria,1.112993218,2.074634763,4.190455654,0.826958473,0.34284324,1.620497201,1.183075291,0.34723534,0.823817422,1.075331579,4.535126064,2.543033881,3.243651058,1.489762754,1.289789528,1.302697262,2.482452731,0.19760299,3.086887191,0.610361636,0,0,1.015402111,0.666464709,2.025212353,2.809810693,3.826573397,3.257582987,1.765511913,1.343171723,0.192074085,0,1.349155944,0.628248476,0.368263033,1.361282002,3.356728223,0.738481874,0.438985595,0.565736537,0.334692201,1.529128708,0.415486922,1.261410027,1.952345376
Armatimonadota,Bacteria,181.8719745,403.2046134,724.1559472,165.4953077,77.73086976,302.9074208,173.9350428,211.8507175,351.9718463,616.1899955,201.0540063,277.6985202,455.1764529,455.8141792,165.3130748,258.3511508,681.2779154,121.567317,433.352796,130.7553628,181.3614923,0,171.391073,206.6092333,1398.801266,473.513456,713.3809704,536.477737,329.4989566,166.398124,364.8200437,187.0190668,431.4448432,107.3119893,78.45139606,600.6016884,283.8594577,369.4735588,45.52597302,260.5151903,73.07359637,381.8670316,191.6115568,81.08925994,46.47933424
Artverviricota,Viruses,0.87991383,0,1.514967341,0.013595048,1.176832995,0.112276686,3.731923655,2.55418806,1.417552034,0.811763731,0.170144266,3.707694472,2.582142453,0.583904119,10.65134364,0.368626233,0.350477526,0.427303581,16.89362284,3.564307061,10.40035469,0,0.891413052,3.120074274,0,0.941539499,1.716670591,1.37576474,4.955423339,12.28460393,1.248405046,0.541940712,0.049159583,1.38728035,4.146108513,0.041119395,0.808315085,1.949998615,9.462577266,0.147348489,1.122458473,0.858580268,1.572495837,1.565857958,2.453528971
Ascomycota,Fungi,3185.962823,2255.949716,1168.924236,4700.958024,6100.43611,2602.099526,4883.772233,3804.477525,2300.32852,4917.575071,6366.744983,4753.999322,3163.656369,2816.057425,5839.263619,3116.590693,4074.786456,5480.788055,3379.0499,7580.025148,4647.283173,0,6302.254061,4692.530337,2083.557698,1679.854112,2775.699576,3871.307336,2778.872372,7330.657301,1928.72713,2614.722334,2813.691036,6926.935768,8143.743502,2198.585015,1115.42215,3508.894982,23526.12138,3677.466194,4972.467481,2453.770442,2934.181502,4227.135968,7014.423673
Atribacterota,Bacteria,0.985096424,4.038456074,3.38686419,1.63268832,0.361372185,2.497104792,1.243170212,0.532806733,1.709731072,2.793452186,1.391107105,5.305398958,2.511653408,4.228628823,1.173373575,1.319669854,3.620292513,0.595866532,2.343964808,2.12175086,0.794225939,0,0.892493726,2.68241221,0,3.489050312,3.158912081,3.004718803,1.071451556,2.134556708,1.072109158,6.06926241,2.224740009,0.386410809,2.161759602,1.75848451,2.220769299,0.571255456,0.101277136,0.089916195,0,0.241805541,0.460233167,0.126769381,0.313778065
Bacillariophyta,Protists ,52.37616386,33.05185442,80.88303248,41.88200716,42.75866045,36.11656297,93.29357846,109.0618452,99.28657638,97.0063801,159.6715892,83.5490205,140.5807239,159.6352292,82.24729982,51.9468444,154.849537,40.51676921,50.08014751,211.5549942,71.91740253,0,95.84696134,55.343102,4.05511908,55.81092416,128.4391256,99.32529723,109.9089357,54.35254802,73.57905,46.44935789,108.6535742,41.50155504,46.23120647,58.96039667,41.56724919,58.02483611,28.1800842,36.72126436,27.75478125,47.94207369,58.32370546,69.5537685,70.11176449
