"name","uid"
"Citrus","2706"
"Musa","4640"
"Nostoc","1177"
"Podocarpus","3363"
"Sophora","3896"
"Streptomyces","1883"
"16SrI",NA
"Aaosphaeria","1450170"
"Abditibacteriaceae","2109261"
"Abditibacteriales","2109260"
"Abditibacteriota","2109258"
"Abditibacterium","2109263"
"Abiotrophia","46123"
"Abortiporus","137742"
"Absicoccus","2718525"
"Absidia","4828"
"Abyssalbus","2967089"
"Acanthamoeba","5754"
"Acanthocystis","299834"
"Acanthopleuribacter","442869"
"Acaricomes","291967"
"Acarospora","88747"
"Acaryochloridaceae","1890429"
"Acaryochloris","155977"
"Acaulospora","27372"
"Accumulibacter","327159"
"Acephala","327281"
"Acetatifactor","1427378"
"Acetes","439395"
"Acetivibrio","35829"
"Acetoanaerobium","186831"
"Acetobacter","434"
"Acetobacteraceae","433"
"Acetobacterium","33951"
"Acetohalobium","28186"
"Acetomicrobium","49894"
"Acetonema","2373"
"Achaetomiella","2943944"
"Achaetomium","79812"
"Achlya",NA
"Achnanthes","216727"
"Acholeplasma","2147"
"Acholeplasmataceae","2146"
"Acholeplasmatales","186329"
"Achromatium","44937"
"Achromobacter","222"
"Aciculadictyochaeta","2999293"
"Aciculosporium","42362"
"Acidaminococcaceae","909930"
"Acidaminococcales","1843488"
"Acidaminococcus","904"
"Acidianus","12914"
"Acidibacillus","1765682"
"Acidicaldus","368783"
"Acidicapsa","1078830"
"Acididesulfobacillus","2924872"
"Acidiferrimicrobium","2752474"
"Acidiferrobacter","986106"
"Acidiferrobacteraceae","1692041"
"Acidiferrobacterales","1692040"
"Acidihalobacter","1765964"
"Acidilobales","871006"
"Acidilobus","105850"
"Acidimicrobiaceae","84994"
"Acidimicrobiales","84993"
"Acidimicrobiia","84992"
"Acidimicrobium","53634"
"Acidiphilium","522"
"Acidipila","1000999"
"Acidipropionibacterium","1912215"
"Acidisarcina","2608728"
"Acidisoma","512381"
"Acidisphaera","50714"
"Aciditerrimonas","1042325"
"Acidithiobacillales","225057"
"Acidithiobacillus","119977"
