"Species","Genus","Family","VTX_num","TaxLabel","Control_present","n_AMF_present","n_AMF_absent","AMF_present_in","AMF_absent_in","Status","Status_strict"
"VTX00193","Claroideoglomus","Claroideoglomeraceae",193,"Claroideoglomus VTX00193",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00225","Claroideoglomus","Claroideoglomeraceae",225,"Claroideoglomus VTX00225",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00276","Claroideoglomus","Claroideoglomeraceae",276,"Claroideoglomus VTX00276",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00062","Diversispora","Diversisporaceae",62,"Diversispora VTX00062",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00063","Diversispora","Diversisporaceae",63,"Diversispora VTX00063",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00306","Diversispora","Diversisporaceae",306,"Diversispora VTX00306",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00356","Diversispora","Diversisporaceae",356,"Diversispora VTX00356",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00286","Scutellospora","Diversisporaceae",286,"Scutellospora VTX00286",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00064","Glomus","Glomeraceae",64,"Glomus VTX00064",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00065","Glomus","Glomeraceae",65,"Glomus VTX00065",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00067","Glomus","Glomeraceae",67,"Glomus VTX00067",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00069","Glomus","Glomeraceae",69,"Glomus VTX00069",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00074","Glomus","Glomeraceae",74,"Glomus VTX00074",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00088","Glomus","Glomeraceae",88,"Glomus VTX00088",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00089","Glomus","Glomeraceae",89,"Glomus VTX00089",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00090","Glomus","Glomeraceae",90,"Glomus VTX00090",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00092","Glomus","Glomeraceae",92,"Glomus VTX00092",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00093","Glomus","Glomeraceae",93,"Glomus VTX00093",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00096","Glomus","Glomeraceae",96,"Glomus VTX00096",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00100","Glomus","Glomeraceae",100,"Glomus VTX00100",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00105","Glomus","Glomeraceae",105,"Glomus VTX00105",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00108","Glomus","Glomeraceae",108,"Glomus VTX00108",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00113","Glomus","Glomeraceae",113,"Glomus VTX00113",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00114","Glomus","Glomeraceae",114,"Glomus VTX00114",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00115","Glomus","Glomeraceae",115,"Glomus VTX00115",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00117","Glomus","Glomeraceae",117,"Glomus VTX00117",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00128","Glomus","Glomeraceae",128,"Glomus VTX00128",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00130","Glomus","Glomeraceae",130,"Glomus VTX00130",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00135","Glomus","Glomeraceae",135,"Glomus VTX00135",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00137","Glomus","Glomeraceae",137,"Glomus VTX00137",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00140","Glomus","Glomeraceae",140,"Glomus VTX00140",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00142","Glomus","Glomeraceae",142,"Glomus VTX00142",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00143","Glomus","Glomeraceae",143,"Glomus VTX00143",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00151","Glomus","Glomeraceae",151,"Glomus VTX00151",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00153","Glomus","Glomeraceae",153,"Glomus VTX00153",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00154","Glomus","Glomeraceae",154,"Glomus VTX00154",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00155","Glomus","Glomeraceae",155,"Glomus VTX00155",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00156","Glomus","Glomeraceae",156,"Glomus VTX00156",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00160","Glomus","Glomeraceae",160,"Glomus VTX00160",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00163","Glomus","Glomeraceae",163,"Glomus VTX00163",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00166","Glomus","Glomeraceae",166,"Glomus VTX00166",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00167","Glomus","Glomeraceae",167,"Glomus VTX00167",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00177","Glomus","Glomeraceae",177,"Glomus VTX00177",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00185","Glomus","Glomeraceae",185,"Glomus VTX00185",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00186","Glomus","Glomeraceae",186,"Glomus VTX00186",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00187","Glomus","Glomeraceae",187,"Glomus VTX00187",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
"VTX00194","Glomus","Glomeraceae",194,"Glomus VTX00194",TRUE,3,0,"CC4, Cuba8, DAOM197198","","Persistent","Persistent"
