"Sample","AMF","Fert","Till","Family","Genus","Species","Metabarcoding","RNA_taxonomy","detected_metabar","detected_rna","detection_class"
"125","Control","High","No","Acaulosporaceae","Acaulospora","VTX00231",5.83984681159732e-05,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Acaulosporaceae","Acaulospora","VTX00328",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Acaulosporaceae","Acaulospora","VTX00379",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00056",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00057",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00193",1.53680179252561e-05,0.0200047630388188,TRUE,TRUE,"Both"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00237",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00276",0.0255846762419664,0.00666825434627292,TRUE,TRUE,"Both"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00341",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00358",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00402",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Claroideoglomeraceae","Glomus","VTX00100",9.22081075515366e-06,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Diversisporaceae","Diversispora","VTX00058",0.00866756210984444,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Diversisporaceae","Diversispora","VTX00062",0,0.0191712312455347,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Diversisporaceae","Diversispora","VTX00263",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Diversisporaceae","Diversispora","VTX00306",0.0295404040559273,0.0179804715408431,TRUE,TRUE,"Both"
"125","Control","High","No","Diversisporaceae","Diversispora","VTX00356",0,0.0197666110978804,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Diversisporaceae","Diversispora","VTX00401",0.000365758826621095,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Gigasporaceae","Scutellospora","VTX00052",0.000832946571548881,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Gigasporaceae","Scutellospora","VTX00255",5.83984681159732e-05,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Gigasporaceae","Scutellospora","VTX00260",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","Unassigned",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00063",0.0264391380386106,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00064",0.000608573509840142,0.0148844963086449,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00085",0.000132164954157203,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00089",0,0.000238151940938319,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00092",0,0.00130983567516075,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00099",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00101",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00104",9.22081075515366e-05,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00108",0,0.000357227911407478,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00109",0.00823725760793727,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00111",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00112",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00121",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00122",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00124",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00130",0.0308313175616488,0.0109549892831627,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00132",0.000144459368497407,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00135",0,0.00190521552750655,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00137",0,0.00154798761609907,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00143",1.22944143402049e-05,0.0303643724696356,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00146",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00149",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00151",0.00233593872463893,0.277923315075018,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00154",0,0.00238151940938319,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00155",0,0.0196475351274113,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00156",0.0793973278090432,0.0325077399380805,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00167",0.00177961647574466,0.00476303881876637,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00174",4.30304501907171e-05,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00175",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00177",0,0.00202429149797571,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00178",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00183",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00191",4.30304501907171e-05,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00194",0.00178269007932971,0.00130983567516075,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00197",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00206",9.22081075515366e-06,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00209",0.000110649729061844,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00212",0,0.00107168373422243,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00213",0.0220992097765183,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00214",0.00398953745339649,0.00428673493688974,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00216",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00222",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00234",0.000129091350572151,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00247",0.00022744666529379,0.00464396284829721,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00248",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00287",3.68832430206147e-05,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00294",4.61040537757683e-05,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00301",0,0.00357227911407478,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00304",0.000482555762853042,0.0115503691355085,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00310",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00312",9.22081075515366e-06,0.00202429149797571,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00319",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00322",0.0002520354939742,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00323",0.0032826086288347,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00331",0.0673733905843228,0.119552274351036,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00332",0.000627015131350449,0.00214336746844487,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00342",0.0143260663099237,0.0135746606334842,TRUE,TRUE,"Both"
"125","Control","High","No","Glomeraceae","Glomus","VTX00343",0.00397724303905628,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00359",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00360",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00361",0,0,FALSE,FALSE,"Neither"
