"Family","Genus","Species","mean_rel_abundance_Metabarcoding","mean_rel_abundance_RNA_taxonomy","prevalence_Metabarcoding","prevalence_RNA_taxonomy","diff"
"Paraglomeraceae","Paraglomus","VTX00348",0.218470070214574,0.00368422082661734,1,1,0.214785849387956
"Glomeraceae","Glomus","VTX00423",0.153351023365653,0,1,0,0.153351023365653
"Glomeraceae","Glomus","VTX00130",0.119966249110631,0.0291943248884939,1,1,0.0907719242221376
"Claroideoglomeraceae","Claroideoglomus","VTX00276",0.108549943827267,0.0216381760883477,1,1,0.0869117677389194
"Glomeraceae","Glomus","VTX00063",0.047410282000347,0,1,0,0.047410282000347
"Glomeraceae","Rhizophagus","VTX00114",0.041771442838181,0,0.925925925925926,0,0.041771442838181
"Glomeraceae","Glomus","VTX00342",0.0301926049592738,0.00980845437587826,0.888888888888889,1,0.0203841505833955
"Paraglomeraceae","Paraglomus","VTX00308",0.0212989063031564,0.00349338957372415,1,1,0.0178055167294322
"Glomeraceae","Glomus","VTX00213",0.0166538572999189,0,1,0,0.0166538572999189
"Glomeraceae","Paraglomus","VTX00350",0.0142463436592277,0,1,0,0.0142463436592277
"Diversisporaceae","Diversispora","VTX00263",0.0133764362663877,0,0.592592592592593,0,0.0133764362663877
"Diversisporaceae","Diversispora","VTX00058",0.0115899883191298,0,0.814814814814815,0,0.0115899883191298
"Diversisporaceae","Diversispora","VTX00306",0.0205954966387355,0.010772482553307,1,1,0.00982301408542853
"Glomeraceae","Glomus","VTX00156",0.0185379103463545,0.0113315674629862,0.777777777777778,1,0.00720634288336835
"Glomeraceae","Glomus","VTX00332",0.00945190274138958,0.00314744081253228,0.814814814814815,1,0.0063044619288573
"Glomeraceae","Glomus","VTX00323",0.00599211185968058,0,1,0,0.00599211185968058
"Paraglomeraceae","Paraglomus","VTX00352",0.00530243202722144,0,1,0,0.00530243202722144
"Paraglomeraceae","Paraglomus","VTX00281",0.0112023897396486,0.00719411473773111,0.925925925925926,1,0.00400827500191746
"Glomeraceae","Glomus","VTX00395",0.00374119196420134,0,0.814814814814815,0,0.00374119196420134
"Glomeraceae","Glomus","VTX00304",0.00757919087283213,0.00392012075362421,0.925925925925926,1,0.00365907011920792
