"Family","Genus","Species","mean_rel_abundance_Metabarcoding","mean_rel_abundance_RNA_taxonomy","prevalence_Metabarcoding","prevalence_RNA_taxonomy","diff"
"Glomeraceae","Glomus","VTX00151",0.000473671582029745,0.168838708453148,0.740740740740741,1,-0.168365036871119
"Glomeraceae","Glomus","VTX00113",0,0.0847193584233525,0,1,-0.0847193584233525
"Diversisporaceae","Diversispora","VTX00063",0,0.0798184775925116,0,1,-0.0798184775925116
"Glomeraceae","Glomus","VTX00331",0.0208122636242686,0.0847941415361808,1,1,-0.0639818779119121
"Paraglomeraceae","Paraglomus","VTX00446",0.0270211189438074,0.0831367682798312,1,1,-0.0561156493360238
"Claroideoglomeraceae","Claroideoglomus","VTX00193",0.000460733630203397,0.03400775266358,0.703703703703704,1,-0.0335470190333766
"Glomeraceae","Glomus","VTX00143",6.7937185058417e-06,0.0331589197303296,0.185185185185185,1,-0.0331521260118237
"Glomeraceae","Glomus","VTX00155",9.19361870042897e-06,0.027201745849251,0.0740740740740741,1,-0.0271925522305505
"Glomeraceae","Glomus","VTX00387",0,0.022050570892257,0,1,-0.022050570892257
"Glomeraceae","Glomus","VTX00268",0,0.0198449517234669,0,1,-0.0198449517234669
"Glomeraceae","Glomus","VTX00114",0,0.017284299112274,0,1,-0.017284299112274
"Glomeraceae","Glomus","VTX00064",0.00918372290196915,0.0254093988588439,0.962962962962963,1,-0.0162256759568748
"Glomeraceae","Glomus","VTX00293",0,0.0152436344795774,0,1,-0.0152436344795774
"Glomeraceae","Glomus","VTX00166",0,0.0136703641102278,0,1,-0.0136703641102278
"Glomeraceae","Glomus","VTX00163",0,0.0132876412425293,0,1,-0.0132876412425293
"Diversisporaceae","Diversispora","VTX00356",4.52749684659845e-07,0.0124855672965007,0.037037037037037,1,-0.0124851145468161
"Glomeraceae","Glomus","VTX00067",0,0.0119693184472501,0,1,-0.0119693184472501
"Diversisporaceae","Diversispora","VTX00062",2.54313539093332e-07,0.0119618186101885,0.037037037037037,1,-0.0119615642966494
"Glomeraceae","Glomus","VTX00403",0,0.0118163833457823,0,1,-0.0118163833457823
"Glomeraceae","Glomus","VTX00370",0,0.0111676624476866,0,1,-0.0111676624476866
