"Species","Genus","Family","VTX_num","TaxLabel","ControlMeanRelAbundance"
"VTX00225","Claroideoglomus","Claroideoglomeraceae",225,"Claroideoglomus VTX00225",0.00217005027080162
"VTX00286","Scutellospora","Diversisporaceae",286,"Scutellospora VTX00286",0.00275512860612547
"VTX00065","Glomus","Glomeraceae",65,"Glomus VTX00065",0.00584795262391602
"VTX00069","Glomus","Glomeraceae",69,"Glomus VTX00069",0.00623257313565813
"VTX00074","Glomus","Glomeraceae",74,"Glomus VTX00074",0.00269941331638342
"VTX00088","Glomus","Glomeraceae",88,"Glomus VTX00088",0.00204329273768338
"VTX00089","Glomus","Glomeraceae",89,"Glomus VTX00089",0.00101286027731504
"VTX00090","Glomus","Glomeraceae",90,"Glomus VTX00090",0.00463809044950582
"VTX00092","Glomus","Glomeraceae",92,"Glomus VTX00092",0.00521642883585197
"VTX00093","Glomus","Glomeraceae",93,"Glomus VTX00093",0.00438406840725815
"VTX00096","Glomus","Glomeraceae",96,"Glomus VTX00096",0.00295781787331407
"VTX00100","Glomus","Glomeraceae",100,"Glomus VTX00100",0.00262277132720292
"VTX00105","Glomus","Glomeraceae",105,"Glomus VTX00105",0.00101339324087672
"VTX00108","Glomus","Glomeraceae",108,"Glomus VTX00108",0.00166479522986548
"VTX00117","Glomus","Glomeraceae",117,"Glomus VTX00117",0.000777508793191973
"VTX00128","Glomus","Glomeraceae",128,"Glomus VTX00128",0.00372257359279576
"VTX00135","Glomus","Glomeraceae",135,"Glomus VTX00135",0.00228675481680879
"VTX00137","Glomus","Glomeraceae",137,"Glomus VTX00137",0.00164411351735592
"VTX00140","Glomus","Glomeraceae",140,"Glomus VTX00140",0.00100438163195066
"VTX00142","Glomus","Glomeraceae",142,"Glomus VTX00142",0.001571934571899
"VTX00153","Glomus","Glomeraceae",153,"Glomus VTX00153",0.00204521089134732
"VTX00154","Glomus","Glomeraceae",154,"Glomus VTX00154",0.00160621708930098
"VTX00160","Glomus","Glomeraceae",160,"Glomus VTX00160",0.00475938329490696
"VTX00163","Glomus","Glomeraceae",163,"Glomus VTX00163",0.00757005772380162
"VTX00166","Glomus","Glomeraceae",166,"Glomus VTX00166",0.00523311713966454
"VTX00167","Glomus","Glomeraceae",167,"Glomus VTX00167",0.00225549994679523
"VTX00177","Glomus","Glomeraceae",177,"Glomus VTX00177",0.000909921453326913
"VTX00185","Glomus","Glomeraceae",185,"Glomus VTX00185",0.00128206711516197
"VTX00186","Glomus","Glomeraceae",186,"Glomus VTX00186",0.00400660780881963
"VTX00187","Glomus","Glomeraceae",187,"Glomus VTX00187",0.00292607089817992
"VTX00194","Glomus","Glomeraceae",194,"Glomus VTX00194",0.00508406138031894
"VTX00197","Glomus","Glomeraceae",197,"Glomus VTX00197",0.000520020800832033
"VTX00199","Glomus","Glomeraceae",199,"Glomus VTX00199",0.00132978249728418
"VTX00212","Glomus","Glomeraceae",212,"Glomus VTX00212",0.00260709499043142
"VTX00219","Glomus","Glomeraceae",219,"Glomus VTX00219",0.000712922058261432
"VTX00247","Glomus","Glomeraceae",247,"Glomus VTX00247",0.00269816214621307
"VTX00248","Glomus","Glomeraceae",248,"Glomus VTX00248",0.000695753181177486
"VTX00256","Glomus","Glomeraceae",256,"Glomus VTX00256",0.00213931778322502
"VTX00295","Glomus","Glomeraceae",295,"Glomus VTX00295",0.00382360274885109
"VTX00301","Glomus","Glomeraceae",301,"Glomus VTX00301",0.00234620999682336
"VTX00304","Glomus","Glomeraceae",304,"Glomus VTX00304",0.00633438447361501
"VTX00312","Glomus","Glomeraceae",312,"Glomus VTX00312",0.00343078842879578
"VTX00315","Glomus","Glomeraceae",315,"Glomus VTX00315",0.00346510959325218
"VTX00329","Glomus","Glomeraceae",329,"Glomus VTX00329",0.00750287341885668
"VTX00332","Glomus","Glomeraceae",332,"Glomus VTX00332",0.00208501521677776
"VTX00345","Glomus","Glomeraceae",345,"Glomus VTX00345",0.00345441309145154
"VTX00366","Glomus","Glomeraceae",366,"Glomus VTX00366",0.00237020693069782
"VTX00367","Glomus","Glomeraceae",367,"Glomus VTX00367",0.000427156764865657
"VTX00370","Glomus","Glomeraceae",370,"Glomus VTX00370",0.00826437149809928
"VTX00372","Glomus","Glomeraceae",372,"Glomus VTX00372",0.000892928867633771
"VTX00385","Glomus","Glomeraceae",385,"Glomus VTX00385",0.00695177680332049
"VTX00396","Glomus","Glomeraceae",396,"Glomus VTX00396",0.000267527418289826
"VTX00403","Glomus","Glomeraceae",403,"Glomus VTX00403",0.00646059142039812
"VTX00409","Glomus","Glomeraceae",409,"Glomus VTX00409",0.00819352835320043
"VTX00439","Glomus","Glomeraceae",439,"Glomus VTX00439",0.00230258081877982
"VTX00308","Paraglomus","Paraglomeraceae",308,"Paraglomus VTX00308",0.00112116086650272
"VTX00348","Paraglomus","Paraglomeraceae",348,"Paraglomus VTX00348",0.00104385372118863
