"Sample","AMF","Fert","Till","Family","Genus","Species","Metabarcoding","RNA_taxonomy","detected_metabar","detected_rna","detection_class"
"125","Control","High","No","Acaulosporaceae","Acaulospora","VTX00231",0.000229200091680037,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Acaulosporaceae","Acaulospora","VTX00328",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Acaulosporaceae","Acaulospora","VTX00379",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00056",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00057",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00193",0,0.0200047630388188,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00237",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00276",0.024753609901444,0.00666825434627292,TRUE,TRUE,"Both"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00341",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00358",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Claroideoglomeraceae","Claroideoglomus","VTX00402",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Diversisporaceae","Diversispora","VTX00058",0.0110016044006418,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Diversisporaceae","Diversispora","VTX00062",0,0.0191712312455347,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Diversisporaceae","Diversispora","VTX00263",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Diversisporaceae","Diversispora","VTX00306",0.0320880128352051,0.0179804715408431,TRUE,TRUE,"Both"
"125","Control","High","No","Diversisporaceae","Diversispora","VTX00356",0,0.0197666110978804,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Diversisporaceae","Diversispora","VTX00401",0.00068760027504011,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Gigasporaceae","Scutellospora","VTX00052",0.000458400183360073,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Gigasporaceae","Scutellospora","VTX00255",0.000229200091680037,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Gigasporaceae","Scutellospora","VTX00260",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00063",0.0245244098097639,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00064",0,0.0148844963086449,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00077",0.00825120330048132,0,TRUE,FALSE,"Metabarcoding_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00085",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00089",0,0.000238151940938319,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00092",0,0.00130983567516075,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00099",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00100",0,0.00273874732079066,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00101",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00104",0,0,FALSE,FALSE,"Neither"
"125","Control","High","No","Glomeraceae","Glomus","VTX00108",0,0.000357227911407478,FALSE,TRUE,"RNA_only"
"125","Control","High","No","Glomeraceae","Glomus","VTX00109",0.00962640385056154,0,TRUE,FALSE,"Metabarcoding_only"
