Sample,AMF,Fert,Till,detection_class,n_VTX
104,DAOM197198,No,No,Metabarcoding_only,45
104,DAOM197198,No,No,Neither,76
117,Control,No,Till,Metabarcoding_only,44
117,Control,No,Till,Neither,77
12,CC4,High,Till,Metabarcoding_only,43
12,CC4,High,Till,Neither,78
125,Control,High,No,Both,18
125,Control,High,No,Metabarcoding_only,26
125,Control,High,No,Neither,57
125,Control,High,No,RNA_only,61
128,Control,High,Till,Metabarcoding_only,45
128,Control,High,Till,Neither,76
128,Control,High,Yes,RNA_only,82
130,Control,No,No,Metabarcoding_only,45
130,Control,No,No,Neither,76
139,Control,No,Till,Metabarcoding_only,48
139,Control,No,Till,Neither,73
139,Control,No,Yes,RNA_only,80
140,DAOM197198,No,No,Metabarcoding_only,38
140,DAOM197198,No,No,Neither,83
143,Control,High,No,Metabarcoding_only,48
143,Control,High,No,Neither,73
150,DAOM197198,High,Till,Metabarcoding_only,42
150,DAOM197198,High,Till,Neither,79
150,DAOM197198,High,Yes,RNA_only,71
152,Control,High,Till,Metabarcoding_only,51
152,Control,High,Till,Neither,70
157,CC4,No,No,Metabarcoding_only,32
157,CC4,No,No,Neither,89
158,DAOM197198,High,No,Both,14
158,DAOM197198,High,No,Metabarcoding_only,21
158,DAOM197198,High,No,Neither,71
158,DAOM197198,High,No,RNA_only,37
16,DAOM197198,High,Till,Metabarcoding_only,38
16,DAOM197198,High,Till,Neither,83
16,DAOM197198,High,Yes,RNA_only,9
169,CC4,High,No,Metabarcoding_only,3
169,CC4,High,No,Neither,118
17,Control,No,No,Both,23
17,Control,No,No,Metabarcoding_only,34
17,Control,No,No,Neither,48
17,Control,No,No,RNA_only,54
18,DAOM197198,No,No,Both,16
18,DAOM197198,No,No,Metabarcoding_only,30
18,DAOM197198,No,No,Neither,60
18,DAOM197198,No,No,RNA_only,49
194,Cuba8,High,Till,Metabarcoding_only,36
194,Cuba8,High,Till,Neither,85
202,Cuba8,No,No,Metabarcoding_only,8
202,Cuba8,No,No,Neither,113
203,CC4,High,No,Both,16
203,CC4,High,No,Metabarcoding_only,25
203,CC4,High,No,Neither,60
203,CC4,High,No,RNA_only,58
205,Cuba8,High,No,Metabarcoding_only,9
205,Cuba8,High,No,Neither,112
210,DAOM197198,No,Till,Metabarcoding_only,40
210,DAOM197198,No,Till,Neither,81
210,DAOM197198,No,Yes,RNA_only,44
212,DAOM197198,High,Till,Metabarcoding_only,13
212,DAOM197198,High,Till,Neither,108
219,Cuba8,No,Till,Metabarcoding_only,28
219,Cuba8,No,Till,Neither,93
229,CC4,High,Till,Metabarcoding_only,18
229,CC4,High,Till,Neither,103
23,Control,No,Till,Metabarcoding_only,48
23,Control,No,Till,Neither,73
23,Control,No,Yes,RNA_only,73
235,DAOM197198,No,No,Both,17
235,DAOM197198,No,No,Metabarcoding_only,20
235,DAOM197198,No,No,Neither,63
235,DAOM197198,No,No,RNA_only,62
236,DAOM197198,High,Till,Metabarcoding_only,21
236,DAOM197198,High,Till,Neither,100
240,DAOM197198,No,Till,Metabarcoding_only,47
240,DAOM197198,No,Till,Neither,74
240,DAOM197198,No,Yes,RNA_only,63
245,CC4,No,No,Metabarcoding_only,16
245,CC4,No,No,Neither,105
248,Cuba8,No,Till,Metabarcoding_only,43
248,Cuba8,No,Till,Neither,78
248,Cuba8,No,Yes,RNA_only,67
25,Control,High,Till,Metabarcoding_only,47
25,Control,High,Till,Neither,74
252,CC4,No,Till,Metabarcoding_only,1
252,CC4,No,Till,Neither,120
254,Cuba8,No,No,Both,18
254,Cuba8,No,No,Metabarcoding_only,26
254,Cuba8,No,No,Neither,62
254,Cuba8,No,No,RNA_only,53
260,Cuba8,No,Till,Metabarcoding_only,45
260,Cuba8,No,Till,Neither,76
260,Cuba8,No,Yes,RNA_only,72
261,CC4,No,No,Both,16
261,CC4,No,No,Metabarcoding_only,26
261,CC4,No,No,Neither,62
261,CC4,No,No,RNA_only,47
263,Cuba8,High,Till,Metabarcoding_only,46
263,Cuba8,High,Till,Neither,75
264,CC4,No,Till,Metabarcoding_only,39
264,CC4,No,Till,Neither,82
264,CC4,No,Yes,RNA_only,66
279,Cuba8,No,No,Both,16
279,Cuba8,No,No,Metabarcoding_only,26
279,Cuba8,No,No,Neither,58
279,Cuba8,No,No,RNA_only,59
283,Cuba8,High,No,RNA_only,62
284,CC4,High,No,Metabarcoding_only,38
284,CC4,High,No,Neither,83
286,DAOM197198,High,Till,Metabarcoding_only,40
286,DAOM197198,High,Till,Neither,81
286,DAOM197198,High,Yes,RNA_only,70
287,CC4,High,Till,Metabarcoding_only,49
287,CC4,High,Till,Neither,72
287,CC4,High,Yes,RNA_only,65
293,CC4,High,Till,Metabarcoding_only,4
293,CC4,High,Till,Neither,117
295,DAOM197198,No,No,Metabarcoding_only,2
295,DAOM197198,No,No,Neither,119
30,Control,High,No,Metabarcoding_only,48
30,Control,High,No,Neither,73
304,CC4,No,No,Both,18
