"Family","Genus","Species","mean_rel_abundance_Metabarcoding","mean_rel_abundance_RNA_taxonomy","prevalence_Metabarcoding","prevalence_RNA_taxonomy","diff"
"Paraglomeraceae","Paraglomus","VTX00348",0.218928532015857,0.00368422082661734,1,1,0.21524431118924
"Glomeraceae","Glomus","VTX00423",0.151764416261322,0,1,0,0.151764416261322
"Glomeraceae","Glomus","VTX00130",0.119201025458188,0.0291943248884939,1,1,0.0900067005696941
"Claroideoglomeraceae","Claroideoglomus","VTX00276",0.110601777574044,0.0216381760883477,1,1,0.0889636014856967
"Glomeraceae","Glomus","VTX00063",0.0480556192222477,0,1,0,0.0480556192222477
"Glomeraceae","Glomus","VTX00114",0.0415446388400778,0.017284299112274,0.925925925925926,1,0.0242603397278038
"Glomeraceae","Glomus","VTX00342",0.0305090788702982,0.00980845437587826,0.851851851851852,1,0.02070062449442
"Paraglomeraceae","Paraglomus","VTX00308",0.02098454172715,0.00349338957372415,1,1,0.0174911521534259
"Glomeraceae","Glomus","VTX00213",0.0164005398935493,0,0.962962962962963,0,0.0164005398935493
"Paraglomeraceae","Paraglomus","VTX00350",0.0137944499622244,0,1,0,0.0137944499622244
"Diversisporaceae","Diversispora","VTX00263",0.0134379164862777,0,0.592592592592593,0,0.0134379164862777
"Diversisporaceae","Diversispora","VTX00058",0.012054227043913,0,0.777777777777778,0,0.012054227043913
"Diversisporaceae","Diversispora","VTX00306",0.02106094175771,0.010772482553307,1,1,0.010288459204403
"Glomeraceae","Glomus","VTX00156",0.0183275184421185,0.0113315674629862,0.740740740740741,1,0.0069959509791323
"Glomeraceae","Glomus","VTX00332",0.0092104481286237,0.00314744081253228,0.777777777777778,1,0.00606300731609142
"Glomeraceae","Glomus","VTX00323",0.00589129124540539,0,1,0,0.00589129124540539
"Paraglomeraceae","Paraglomus","VTX00352",0.00528857989320974,0,1,0,0.00528857989320974
"Glomeraceae","Glomus","VTX00395",0.00391337934312952,0,0.814814814814815,0,0.00391337934312952
"Paraglomeraceae","Paraglomus","VTX00281",0.0110525377543484,0.00719411473773111,0.888888888888889,1,0.00385842301661733
"Glomeraceae","Glomus","VTX00304",0.0076909364097079,0.00392012075362421,0.62962962962963,1,0.00377081565608369
