Sample,AMF,Fert,Till,Family,Genus,Species,Metabarcoding,RNA_taxonomy,detected_metabar,detected_rna,detection_class
104,DAOM197198,No,No,Acaulosporaceae,Acaulospora,VTX00231,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Acaulosporaceae,Acaulospora,VTX00328,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Acaulosporaceae,Acaulospora,VTX00379,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Claroideoglomeraceae,Claroideoglomus,VTX00056,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Claroideoglomeraceae,Claroideoglomus,VTX00057,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Claroideoglomeraceae,Claroideoglomus,VTX00193,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Claroideoglomeraceae,Claroideoglomus,VTX00237,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Claroideoglomeraceae,Claroideoglomus,VTX00276,657,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Claroideoglomeraceae,Claroideoglomus,VTX00341,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Claroideoglomeraceae,Claroideoglomus,VTX00358,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Claroideoglomeraceae,Claroideoglomus,VTX00402,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Diversisporaceae,Diversispora,VTX00058,11,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Diversisporaceae,Diversispora,VTX00062,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Diversisporaceae,Diversispora,VTX00263,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Diversisporaceae,Diversispora,VTX00306,1,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Diversisporaceae,Diversispora,VTX00356,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Diversisporaceae,Diversispora,VTX00401,1,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Gigasporaceae,Scutellospora,VTX00052,12,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Gigasporaceae,Scutellospora,VTX00255,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Gigasporaceae,Scutellospora,VTX00260,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00063,11,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00064,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00077,16,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00085,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00089,1,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00092,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00099,3,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00100,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00101,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00104,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00108,13,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00109,1,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00111,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00112,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00113,1,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00114,532,0,TRUE,FALSE,Metabarcoding_only
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00121,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00122,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00124,0,0,FALSE,FALSE,Neither
104,DAOM197198,No,No,Glomeraceae,Glomus,VTX00130,75,0,TRUE,FALSE,Metabarcoding_only
