"Family","Genus","Species","mean_rel_abundance_Metabarcoding","mean_rel_abundance_RNA_taxonomy","prevalence_Metabarcoding","prevalence_RNA_taxonomy","diff"
"Glomeraceae","Glomus","VTX00151",0.000458400183360073,0.168838708453148,0.407407407407407,1,-0.168380308269788
"Glomeraceae","Glomus","VTX00113",0.000186755630257808,0.0847193584233525,0.518518518518518,1,-0.0845326027930947
"Diversisporaceae","Diversispora","VTX00063",0,0.0798184775925116,0,1,-0.0798184775925116
"Glomeraceae","Glomus","VTX00331",0.0209675639425811,0.0847941415361808,1,1,-0.0638265775935996
"Paraglomeraceae","Paraglomus","VTX00446",0.0267315218037198,0.0831367682798312,1,1,-0.0564052464761114
"Claroideoglomeraceae","Claroideoglomus","VTX00193",0.000466889075644519,0.03400775266358,0.444444444444444,1,-0.0335408635879355
"Glomeraceae","Glomus","VTX00143",0,0.0331589197303296,0,1,-0.0331589197303296
"Glomeraceae","Glomus","VTX00155",0,0.027201745849251,0,1,-0.027201745849251
"Glomeraceae","Glomus","VTX00387",0,0.022050570892257,0,1,-0.022050570892257
"Glomeraceae","Glomus","VTX00268",0,0.0198449517234669,0,1,-0.0198449517234669
"Glomeraceae","Glomus","VTX00064",0.00898124803694366,0.0254093988588439,0.851851851851852,1,-0.0164281508219003
"Glomeraceae","Glomus","VTX00293",0,0.0152436344795774,0,1,-0.0152436344795774
"Glomeraceae","Glomus","VTX00166",0,0.0136703641102278,0,1,-0.0136703641102278
"Glomeraceae","Glomus","VTX00163",0,0.0132876412425293,0,1,-0.0132876412425293
"Diversisporaceae","Diversispora","VTX00356",0,0.0124855672965007,0,1,-0.0124855672965007
"Glomeraceae","Glomus","VTX00067",0,0.0119693184472501,0,1,-0.0119693184472501
"Diversisporaceae","Diversispora","VTX00062",0,0.0119618186101885,0,1,-0.0119618186101885
"Glomeraceae","Glomus","VTX00403",0,0.0118163833457823,0,1,-0.0118163833457823
"Glomeraceae","Glomus","VTX00370",0,0.0111676624476866,0,1,-0.0111676624476866
"Glomeraceae","Glomus","VTX00160",0,0.0108170808188006,0,1,-0.0108170808188006
