"Family","Genus","Species","mean_rel_abundance_Metabarcoding","mean_rel_abundance_RNA_taxonomy","prevalence_Metabarcoding","prevalence_RNA_taxonomy","diff"
"Paraglomeraceae","Paraglomus","VTX00348",0.218928532015857,0.00368422082661734,1,1,0.21524431118924
"Glomeraceae","Glomus","VTX00151",0.000458400183360073,0.168838708453148,0.407407407407407,1,-0.168380308269788
"Glomeraceae","Glomus","VTX00423",0.151764416261322,0,1,0,0.151764416261322
"Glomeraceae","Glomus","VTX00130",0.119201025458188,0.0291943248884939,1,1,0.0900067005696941
"Claroideoglomeraceae","Claroideoglomus","VTX00276",0.110601777574044,0.0216381760883477,1,1,0.0889636014856967
"Glomeraceae","Glomus","VTX00113",0.000186755630257808,0.0847193584233525,0.518518518518518,1,-0.0845326027930947
"Diversisporaceae","Diversispora","VTX00063",0,0.0798184775925116,0,1,-0.0798184775925116
"Glomeraceae","Glomus","VTX00331",0.0209675639425811,0.0847941415361808,1,1,-0.0638265775935996
"Paraglomeraceae","Paraglomus","VTX00446",0.0267315218037198,0.0831367682798312,1,1,-0.0564052464761114
"Glomeraceae","Glomus","VTX00063",0.0480556192222477,0,1,0,0.0480556192222477
"Claroideoglomeraceae","Claroideoglomus","VTX00193",0.000466889075644519,0.03400775266358,0.444444444444444,1,-0.0335408635879355
"Glomeraceae","Glomus","VTX00143",0,0.0331589197303296,0,1,-0.0331589197303296
"Glomeraceae","Glomus","VTX00155",0,0.027201745849251,0,1,-0.027201745849251
"Glomeraceae","Glomus","VTX00114",0.0415446388400778,0.017284299112274,0.925925925925926,1,0.0242603397278038
"Glomeraceae","Glomus","VTX00387",0,0.022050570892257,0,1,-0.022050570892257
"Glomeraceae","Glomus","VTX00342",0.0305090788702982,0.00980845437587826,0.851851851851852,1,0.02070062449442
"Glomeraceae","Glomus","VTX00268",0,0.0198449517234669,0,1,-0.0198449517234669
"Paraglomeraceae","Paraglomus","VTX00308",0.02098454172715,0.00349338957372415,1,1,0.0174911521534259
"Glomeraceae","Glomus","VTX00064",0.00898124803694366,0.0254093988588439,0.851851851851852,1,-0.0164281508219003
"Glomeraceae","Glomus","VTX00213",0.0164005398935493,0,0.962962962962963,0,0.0164005398935493
"Glomeraceae","Glomus","VTX00293",0,0.0152436344795774,0,1,-0.0152436344795774
"Paraglomeraceae","Paraglomus","VTX00350",0.0137944499622244,0,1,0,0.0137944499622244
"Glomeraceae","Glomus","VTX00166",0,0.0136703641102278,0,1,-0.0136703641102278
"Diversisporaceae","Diversispora","VTX00263",0.0134379164862777,0,0.592592592592593,0,0.0134379164862777
"Glomeraceae","Glomus","VTX00163",0,0.0132876412425293,0,1,-0.0132876412425293
"Diversisporaceae","Diversispora","VTX00356",0,0.0124855672965007,0,1,-0.0124855672965007
"Diversisporaceae","Diversispora","VTX00058",0.012054227043913,0,0.777777777777778,0,0.012054227043913
"Glomeraceae","Glomus","VTX00067",0,0.0119693184472501,0,1,-0.0119693184472501
"Diversisporaceae","Diversispora","VTX00062",0,0.0119618186101885,0,1,-0.0119618186101885
"Glomeraceae","Glomus","VTX00403",0,0.0118163833457823,0,1,-0.0118163833457823
"Glomeraceae","Glomus","VTX00370",0,0.0111676624476866,0,1,-0.0111676624476866
"Glomeraceae","Glomus","VTX00160",0,0.0108170808188006,0,1,-0.0108170808188006
"Glomeraceae","Glomus","VTX00329",0,0.0105177172548212,0,1,-0.0105177172548212
"Diversisporaceae","Diversispora","VTX00306",0.02106094175771,0.010772482553307,1,1,0.010288459204403
"Glomeraceae","Glomus","VTX00115",0,0.00875614882462798,0,1,-0.00875614882462798
"Glomeraceae","Glomus","VTX00385",0,0.00854650360810488,0,1,-0.00854650360810488
"Glomeraceae","Glomus","VTX00156",0.0183275184421185,0.0113315674629862,0.740740740740741,1,0.0069959509791323
"Glomeraceae","Glomus","VTX00069",0,0.00669485094258362,0,1,-0.00669485094258362
"Glomeraceae","Glomus","VTX00332",0.0092104481286237,0.00314744081253228,0.777777777777778,1,0.00606300731609142
"Glomeraceae","Glomus","VTX00323",0.00589129124540539,0,1,0,0.00589129124540539
"Glomeraceae","Glomus","VTX00177",0.00692693610410778,0.0127957536755885,0.259259259259259,1,-0.00586881757148073
"Glomeraceae","Glomus","VTX00214",0.0248724543934262,0.0304887129867789,0.962962962962963,1,-0.00561625859335272
"Glomeraceae","Glomus","VTX00089",4.2444461422229e-05,0.0055109115268073,0.111111111111111,1,-0.00546846706538507
"Glomeraceae","Glomus","VTX00128",0,0.00546339861705273,0,1,-0.00546339861705273
"Glomeraceae","Glomus","VTX00305",0,0.00543731690711617,0,1,-0.00543731690711617
"Paraglomeraceae","Paraglomus","VTX00352",0.00528857989320974,0,1,0,0.00528857989320974
"Glomeraceae","Glomus","VTX00090",0,0.0050555647312244,0,1,-0.0050555647312244
"Glomeraceae","Glomus","VTX00362",0,0.0040386113621716,0,1,-0.0040386113621716
"Glomeraceae","Glomus","VTX00199",0,0.00401158426510149,0,1,-0.00401158426510149
"Glomeraceae","Glomus","VTX00395",0.00391337934312952,0,0.814814814814815,0,0.00391337934312952
"Paraglomeraceae","Paraglomus","VTX00281",0.0110525377543484,0.00719411473773111,0.888888888888889,1,0.00385842301661733
"Glomeraceae","Glomus","VTX00304",0.0076909364097079,0.00392012075362421,0.62962962962963,1,0.00377081565608369
"Glomeraceae","Glomus","VTX00409",0.00262306771589375,0.0056287677909531,1,1,-0.00300570007505935
"Diversisporaceae","Scutellospora","VTX00286",0,0.00271555390759552,0,1,-0.00271555390759552
"Glomeraceae","Glomus","VTX00065",0,0.00270848932083897,0,1,-0.00270848932083897
"Glomeraceae","Glomus","VTX00343",0.00268248996188487,0,0.925925925925926,0,0.00268248996188487
"Glomeraceae","Glomus","VTX00312",5.09333537066748e-05,0.00273182085890963,0.148148148148148,1,-0.00268088750520295
"Glomeraceae","Glomus","VTX00153",0,0.00252442840106117,0,1,-0.00252442840106117
"Glomeraceae","Glomus","VTX00093",0,0.00234686762721081,0,1,-0.00234686762721081
"Glomeraceae","Glomus","VTX00092",0,0.00227681898613751,0,1,-0.00227681898613751
"Glomeraceae","Glomus","VTX00109",0.00218164531710257,0,0.814814814814815,0,0.00218164531710257
"Glomeraceae","Glomus","VTX00077",0.00204582304055144,0,1,0,0.00204582304055144
"Glomeraceae","Glomus","VTX00345",0,0.00204393816201275,0,1,-0.00204393816201275
"Glomeraceae","Glomus","VTX00234",0.00180813405658696,0,0.777777777777778,0,0.00180813405658696
"Glomeraceae","Glomus","VTX00187",0,0.00176579722792356,0,1,-0.00176579722792356
"Glomeraceae","Glomus","VTX00088",0,0.00175745574167704,0,1,-0.00175745574167704
"Glomeraceae","Glomus","VTX00074",0,0.0016999313634736,0,1,-0.0016999313634736
"Glomeraceae","Glomus","VTX00315",0,0.00169531846143804,0,1,-0.00169531846143804
"Glomeraceae","Glomus","VTX00256",0,0.00166790458901304,0,1,-0.00166790458901304
"Glomeraceae","Glomus","VTX00418",0.00157893396490692,0,0.407407407407407,0,0.00157893396490692
"Glomeraceae","Glomus","VTX00186",0,0.00151190897200657,0,1,-0.00151190897200657
"Glomeraceae","Glomus","VTX00096",0,0.00148560753512304,0,1,-0.00148560753512304
"Glomeraceae","Glomus","VTX00219",0,0.00145000610124013,0,1,-0.00145000610124013
"Glomeraceae","Glomus","VTX00439",0,0.00143890943245919,0,1,-0.00143890943245919
"Glomeraceae","Glomus","VTX00194",0.00304751233011604,0.00163392577456157,0.888888888888889,1,0.00141358655555448
"Glomeraceae","Glomus","VTX00100",8.4888922844458e-06,0.00141600102184745,0.037037037037037,1,-0.001407512129563
"Glomeraceae","Glomus","VTX00137",0,0.00138310484059024,0,1,-0.00138310484059024
"Glomeraceae","Glomus","VTX00295",0,0.0013819196027153,0,1,-0.0013819196027153
"Glomeraceae","Glomus","VTX00366",0,0.00133015778511378,0,1,-0.00133015778511378
"Glomeraceae","Glomus","VTX00140",0,0.00126184766659493,0,1,-0.00126184766659493
"Glomeraceae","Glomus","VTX00233",0.00121391159667575,0,0.777777777777778,0,0.00121391159667575
